line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,volatility
1,First Witch,When shall we three meet again?,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.0929,0.0,0.0,0.0,0.05178246,0,0,0.16666666666666666,0.06199090909090908,0.036233333333333326,
2,First Witch,"In thunder, lightning, or in rain?",1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.07962857142857142,0.0,0.0,0.0,0.04438496571428572,0,0,0.14285714285714285,0.004845238095238097,0.031057142857142846,
3,Second Witch,"When the hurly-burly’s done,",1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.14956666666666668,0.11333333333333334,0.19629909152447278,0.0,0.07104912666666667,0,0,0.3333333333333333,0.08053589743589744,0.10706666666666667,
4,Second Witch,When the battle’s lost and won.,1,1,1,"Act 1, Scene 1",0.23,0.4,0.37,0.34,pos,0.03395714285714287,0.085,0.16999999999999998,0.11560000000000002,-0.0012727614285714117,1,0,0.14285714285714285,0.0013142857142857262,-0.003820634920634905,
5,Third Witch,That will be ere the set of sun.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.0929,0.0,0.0,0.0,0.05178246,0,0,0.16666666666666666,0.06243333333333333,0.058899999999999994,
6,First Witch,Where the place?,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.069675,0.11148,0.24927685813167655,0.0,0.038836845,0,0,0.125,0.041112499999999996,0.03876590909090909,
7,Second Witch,Upon the heath.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.029712500000000017,0.17948,0.2575021397969345,0.0,-0.0011136662499999853,0,0,0.125,0.0028301470588235414,-0.05186931818181817,
8,Third Witch,There to meet with Macbeth.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.07962857142857142,0.13935,0.2787,0.0,0.04438496571428572,0,0,0.14285714285714285,0.015334126984126964,-0.0019532467532467623,
9,First Witch,"I come, Graymalkin.",1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.06193333333333333,0.11148,0.24927685813167655,0.0,0.03452164,0,0,0.1111111111111111,-0.040240350877192986,0.02038787878787878,
10,Second Witch,Paddock calls.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.026411111111111125,0.17948000000000003,0.2575021397969345,0.0,-0.0009899255555555425,0,0,0.1111111111111111,-0.07065388888888888,0.015774747474747483,
11,Third Witch,Anon.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.069675,0.11148,0.24927685813167658,0.0,0.038836845,0,0,0.125,-0.020310714285714293,0.05903863636363636,
12,Second Witch,"Fair is foul, and foul is fair;",1,1,1,"Act 1, Scene 1",0.0,0.521,0.479,0.5574,pos,0.09883000000000002,0.24342000000000003,0.4312208807560228,0.31069476,0.05544910300000001,1,0,0.19999999999999998,0.02503476190476192,0.08819363636363638,
12,Third Witch,"Fair is foul, and foul is fair;",1,1,1,"Act 1, Scene 1",0.0,0.521,0.479,0.5574,pos,0.06193333333333333,0.11148,0.24927685813167658,0.31069476,0.03452164,1,0,0.1111111111111111,-0.011861904761904761,0.051296969696969695,
12,First Witch,"Fair is foul, and foul is fair;",1,1,1,"Act 1, Scene 1",0.0,0.521,0.479,0.5574,pos,0.05574,0.11148,0.24927685813167655,0.31069476,0.031069476000000002,1,0,0.1,-0.018055238095238096,0.04510363636363636,
13,Third Witch,Hover through the fog and filthy air.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.1308,0.11148,0.24927685813167658,0.0,0.087409512,0,0,0.2,0.057004761904761905,0.05649999999999998,
13,First Witch,Hover through the fog and filthy air.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,-0.007227272727272729,0.11148,0.24927685813167655,0.0,-0.00863153181818182,0,0,0.0,-0.08102251082251083,-0.08152727272727275,
13,Second Witch,Hover through the fog and filthy air.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.08984545454545456,0.24342000000000003,0.4312208807560228,0.0,0.05040827545454547,0,0,0.1818181818181818,0.016050216450216467,0.015545454545454543,
14,Duncan,"What bloody man is that? He can report,",1,2,2,"Act 1, Scene 2",0.293,0.707,0.0,-0.4404,neg,-0.06470000000000001,0.1468,0.2542650585511112,-0.19395216,-0.02420826000000001,0,1,-0.16666666666666666,-0.11267142857142859,-0.2102727272727273,
15,Duncan,"As seemeth by his plight, of the revolt",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.007114285714285724,0.23325,0.3811936122234999,0.0,-0.0043907142857142955,0,0,0.0,-0.05404761904761906,-0.152687012987013,
16,Duncan,The newest state.,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.05551249999999999,0.27468,0.38743361753983097,0.0,0.026650276249999993,0,0,0.125,0.032893452380952384,-0.0853693181818182,
17,Malcolm,This is the sergeant,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.3121833333333333,0.49476666666666674,0.43051941109935254,0.0,0.21606094833333334,0,0,0.33333333333333337,0.2895642857142857,0.20221060606060604,
18,Malcolm,"Who, like a good and hardy soldier, fought",1,2,2,"Act 1, Scene 2",0.16,0.278,0.562,0.7003,pos,0.26758571428571426,0.37107500000000004,0.42984084942375284,0.49042009000000003,0.18519509857142857,1,0,0.2857142857142857,0.24496666666666664,0.20828571428571424,
19,Malcolm,"’Gainst my captivity.—Hail, brave friend!",1,2,2,"Act 1, Scene 2",0.0,0.303,0.697,0.784,pos,0.2341375,0.30718,0.4174963448941799,0.6146560000000001,0.16204571125,1,0,0.25,0.18967083333333334,0.2241375,
20,Malcolm,Say to the King the knowledge of the broil,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.14152222222222222,0.39526000000000006,0.3872951355232854,0.0,0.10412059222222221,0,0,0.1111111111111111,0.13017936507936506,0.06255858585858586,
21,Malcolm,As thou didst leave it.,1,2,2,"Act 1, Scene 2",0.231,0.769,0.0,-0.0516,neg,0.12737,0.25520000000000004,0.36612113842279037,-0.00266256,0.093708533,0,1,0.09999999999999998,0.08409857142857144,0.09482454545454547,
22,Captain,"Doubtful it stood,",1,2,2,"Act 1, Scene 2",0.545,0.455,0.0,-0.34,neg,-0.1791166666666667,0.29410000000000003,0.2740482256829991,-0.11560000000000002,-0.09485840166666669,0,1,-0.33333333333333337,-0.22238809523809527,-0.21166212121212125,
