line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
14,Duncan,"What bloody man is that? He can report,",1,2,2,"Act 1, Scene 2",0.293,0.707,0.0,-0.4404,neg,-0.06470000000000001,0.1468,0.2542650585511112,0,-0.19395216,-0.02420826000000001,0,1,-0.16666666666666666,-0.11267142857142859,-0.2102727272727273,-0.4404
15,Duncan,"As seemeth by his plight, of the revolt",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.007114285714285724,0.23325,0.3811936122234999,0,0.0,-0.0043907142857142955,0,0,0.0,-0.05404761904761906,-0.152687012987013,-0.2202
16,Duncan,The newest state.,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.05551249999999999,0.27468,0.38743361753983097,0,0.0,0.026650276249999993,0,0,0.125,0.032893452380952384,-0.0853693181818182,-0.1468
39,Duncan,"O valiant cousin, worthy gentleman!",1,2,2,"Act 1, Scene 2",0.0,0.556,0.444,0.4926,pos,0.04934444444444444,0.18660000000000002,0.33017493545089094,1,0.24265475999999997,0.02368913444444444,1,0,0.1111111111111111,0.0718063492063492,0.052689898989898974,0.4926
50,Duncan,"Dismayed not this our captains, Macbeth and",1,2,2,"Act 1, Scene 2",0.326,0.674,0.0,-0.4404,neg,0.08845,0.25427999999999995,0.3607657855174185,2,-0.19395216,0.040715437,0,1,0.2,0.17729761904761904,0.17091363636363638,-0.4404
51,Duncan,Banquo?,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.15675454545454545,0.35306,0.3995593322649341,2,0.0,0.10112894636363637,0,0,0.2727272727272727,0.22208311688311688,0.22553636363636365,-0.2202
60,Duncan,So well thy words become thee as thy wounds:,1,2,2,"Act 1, Scene 2",0.0,0.77,0.23,0.3384,pos,0.14229999999999998,0.25454,0.3611394495205419,3,0.11451455999999999,0.08609910999999999,1,0,0.2727272727272727,0.06165714285714284,0.12226363636363634,0.3384
61,Duncan,"They smack of honor both.—Go, get him surgeons.",1,2,2,"Act 1, Scene 2",0.0,0.686,0.314,0.4939,pos,0.1840090909090909,0.25454,0.23898267301208267,3,0.24393721000000002,0.10523524090909091,1,0,0.3636363636363636,0.06724242424242423,0.14232727272727272,0.41615
62,Duncan,Who comes here?,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.12951818181818178,0.4225,0.30213271918148826,3,0.0,0.07257338999999999,0,0,0.2727272727272727,0.03545151515151511,-0.012836363636363674,0.27743333333333337
68,Duncan,"Whence cam’st thou, worthy thane?",1,2,2,"Act 1, Scene 2",0.0,0.58,0.42,0.4404,pos,0.11366363636363634,0.4747,0.5537259592975573,4,0.19395216,0.05971852454545454,1,0,0.2727272727272727,0.04655411255411253,-0.04938181818181818,0.4404
80,Duncan,Great happiness!,1,2,2,"Act 1, Scene 2",0.0,0.0,1.0,0.8398,pos,0.21367272727272724,0.46768,0.5498309667525103,5,0.70526404,0.11691454727272726,1,0,0.45454545454545453,0.2519536796536796,0.1664545454545454,0.8398
86,Duncan,No more that Thane of Cawdor shall deceive,1,2,2,"Act 1, Scene 2",0.45,0.55,0.0,-0.5994,neg,0.21367272727272724,0.5875600000000001,0.6651900390114092,6,-0.3592803600000001,0.11691454727272726,0,1,0.45454545454545453,0.20902510822510817,0.19204545454545452,-0.5994
87,Duncan,"Our bosom interest. Go, pronounce his present",1,2,2,"Act 1, Scene 2",0.0,0.667,0.333,0.4588,pos,0.18290909090909088,0.56312,0.6520407655967533,6,0.21049743999999998,0.10650413272727272,1,0,0.3636363636363636,0.1686281385281385,0.16128181818181817,-0.07030000000000003
88,Duncan,"death,",1,2,2,"Act 1, Scene 2",1.0,0.0,0.0,-0.5994,neg,0.11109999999999998,0.5271000000000001,0.6029498751969354,6,-0.3592803600000001,0.0763629318181818,0,1,0.18181818181818182,0.11305238095238092,0.14944545454545455,-0.2466666666666667
89,Duncan,And with his former title greet Macbeth.,1,2,2,"Act 1, Scene 2",0.0,0.723,0.277,0.3182,pos,0.11109999999999998,0.40722,0.49143129529976015,6,0.10125123999999999,0.0763629318181818,1,0,0.18181818181818182,0.12152380952380949,0.14944545454545455,0.059199999999999975
91,Duncan,"What he hath lost, noble Macbeth hath won.",1,2,2,"Act 1, Scene 2",0.164,0.357,0.479,0.6597,pos,0.07106363636363634,0.31545999999999996,0.46558652257126176,7,0.43520408999999993,0.05873091727272725,1,0,0.09090909090909094,0.10427792207792205,0.1094090909090909,0.6597
267,Duncan,Is execution done on Cawdor? Are not,1,4,4,"Act 1, Scene 4",0.0,1.0,0.0,0.0,neu,0.04113636363636362,0.25478,0.3643740550588091,8,0.0,0.018317128181818167,0,0,0.09090909090909094,-0.00772554112554117,-0.05889090909090911,0.0
268,Duncan,Those in commission yet returned?,1,4,4,"Act 1, Scene 4",0.0,1.0,0.0,0.0,neu,0.09562727272727271,0.19114,0.3522657207279756,8,0.0,0.050978979090909086,0,0,0.18181818181818182,0.06396536796536795,-0.03332727272727275,0.0
279,Duncan,There’s no art,1,4,4,"Act 1, Scene 4",0.524,0.476,0.0,-0.296,neg,0.003245454545454531,0.059199999999999996,0.1323752242679879,9,-0.08761599999999999,0.003597869999999993,0,1,0.0,0.044197835497835465,0.09589999999999999,-0.296
280,Duncan,To find the mind’s construction in the face.,1,4,4,"Act 1, Scene 4",0.0,1.0,0.0,0.0,neu,0.05773636363636363,0.16132,0.2911690780285573,9,0.0,0.03625972090909091,0,0,0.09090909090909088,0.10357922077922076,0.15039090909090908,-0.148
