line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
2039,Gentlewoman,"Since his Majesty went into the field, I",5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.0,0.0,0.0,0,0.0,0.0,0,0,0.3333333333333333,-0.056033333333333366,0.021918181818181882,0.0
2040,Gentlewoman,"have seen her rise from her bed, throw her nightgown",5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.0,0.0,0.0,0,0.0,0.0,1,0,0.14285714285714285,-0.056033333333333366,-0.03489090909090903,0.0
2041,Gentlewoman,"upon her, unlock her closet, take forth paper,",5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.0,0.0,0.0,0,0.0,0.0,0,0,0.125,-0.03883333333333337,-0.07659999999999995,0.0
2042,Gentlewoman,"fold it, write upon ’t, read it, afterwards seal it, and",5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.024833333333333332,0.0,0.0,0,0.0,0.0055502500000000005,0,0,0.1111111111111111,-0.01922857142857147,-0.02903939393939388,0.0
2043,Gentlewoman,again return to bed; yet all this while in a most fast,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.022350000000000002,0.0,0.0,0,0.0,0.004995225000000001,1,0,0.19999999999999998,-0.030183333333333374,-0.05344090909090902,0.0
2044,Gentlewoman,sleep.,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.02031818181818182,0.0,0.0,0,0.0,0.0045411136363636365,0,0,0.1818181818181818,-0.01854372294372298,-0.0554727272727272,0.0
2050,Gentlewoman,"That, sir, which I will not report after",5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.02031818181818182,0.044700000000000004,0.0999522385942406,1,0.0,0.0045411136363636365,0,1,0.1818181818181818,-0.030024675324675364,-0.07579090909090902,0.0
2051,Gentlewoman,her.,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.02031818181818182,0.044700000000000004,0.0999522385942406,1,0.0,0.0045411136363636365,0,0,0.09090909090909091,-0.030024675324675364,-0.018981818181818114,0.0
2054,Gentlewoman,"Neither to you nor anyone, having no",5,1,21,"Act 5, Scene 1",0.0,0.761,0.239,0.2235,pos,0.02031818181818182,0.044700000000000004,0.0999522385942406,2,0.049952250000000004,0.0045411136363636365,0,0,0.09090909090909091,-0.030024675324675364,6.591949208711867e-17,0.2235
2055,Gentlewoman,witness to confirm my speech.,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.02031818181818182,0.044700000000000004,0.0999522385942406,2,0.0,0.0045411136363636365,1,0,0.1818181818181818,-0.030024675324675364,6.591949208711867e-17,0.11175
