line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
64,Lennox,What a haste looks through his eyes!,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.08455,0.06743333333333333,0.1167979594570613,0,0.0,0.077101145,0,0,0.0,0.04500238095238094,-0.15464999999999995,0.0
65,Lennox,So should he look that seems to speak things,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.07247142857142856,0.227975,0.40004963337899296,0,0.0,0.06608669571428571,0,0,0.0,0.03292380952380951,-0.18064675324675322,0.0
66,Lennox,strange.,1,2,2,"Act 1, Scene 2",1.0,0.0,0.0,-0.2023,neg,0.0060624999999999984,0.18238000000000001,0.3510650908307461,0,-0.04092529,0.03151367875,0,1,-0.125,-0.0448232142857143,-0.24521931818181816,-0.06743333333333333
770,Lennox,"Good morrow, noble sir.",2,3,10,"Act 2, Scene 3",0.0,0.253,0.747,0.7096,pos,-0.06121111111111112,0.18238000000000001,0.3510650908307461,1,0.50353216,-0.011907881111111117,1,0,-0.2222222222222222,-0.1988349206349207,-0.2522111111111111,0.7096
783,Lennox,Goes the King hence today?,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.10276,0.18238000000000001,0.3510650908307461,2,0.0,-0.033441382000000006,0,0,-0.30000000000000004,-0.0239171428571429,-0.04730545454545452,0.0
785,Lennox,"The night has been unruly. Where we lay,",2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.1523818181818182,0.23368000000000003,0.4187629018907955,3,0.0,-0.0686450709090909,0,0,-0.36363636363636365,-0.07353896103896108,0.01929090909090911,0.0
786,Lennox,"Our chimneys were blown down and, as they say,",2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.19241818181818182,0.21164,0.294032460793022,3,0.0,-0.08627708545454546,0,0,-0.4545454545454545,-0.1135753246753247,0.01929090909090911,0.0
787,Lennox,"Lamentings heard i’ th’ air, strange screams of",2,3,10,"Act 2, Scene 3",0.4,0.6,0.0,-0.4588,neg,-0.1558818181818182,0.30698,0.2854107075776941,3,-0.21049743999999998,-0.07159312090909091,0,1,-0.3636363636363636,-0.033800865800865845,0.06669090909090908,-0.15293333333333334
788,Lennox,"death,",2,3,10,"Act 2, Scene 3",1.0,0.0,0.0,-0.5994,neg,-0.15366363636363636,0.4367,0.256986478243506,3,-0.3592803600000001,-0.07074976818181819,0,1,-0.3636363636363636,0.009469696969696934,0.06450909090909096,-0.35273333333333334
789,Lennox,"And prophesying, with accents terrible,",2,3,10,"Act 2, Scene 3",0.437,0.563,0.0,-0.4767,neg,-0.2181727272727273,0.52478,0.09311896691866803,3,-0.22724289,-0.11652541909090909,0,1,-0.4545454545454545,-0.05626796536796541,2.7755575615628914e-17,-0.5116333333333333
