line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
130,Macbeth,So foul and fair a day I have not seen.,1,3,3,"Act 1, Scene 3",0.0,0.778,0.222,0.3744,pos,-0.011083333333333334,0.23086666666666666,0.34667981385326335,0,0.14017536,-0.015518891666666678,1,0,0.0,-0.062207142857142884,-0.06937424242424242,0.3744
141,Macbeth,Speak if you can. What are you?,1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,-0.04142857142857143,0.323,0.4191023741283268,1,0.0,-0.020437942857142868,0,0,-0.14285714285714285,-0.17754761904761907,-0.10131038961038963,0.0
164,Macbeth,"Stay, you imperfect speakers. Tell me more.",1,3,3,"Act 1, Scene 3",0.277,0.723,0.0,-0.3182,neg,-0.07325,0.2584,0.36799922282526626,2,-0.10125123999999999,-0.028835200000000005,0,1,-0.25,-0.11831666666666668,-0.05679545454545455,-0.3182
165,Macbeth,By Sinel’s death I know I am Thane of Glamis.,1,3,3,"Act 1, Scene 3",0.302,0.698,0.0,-0.5994,neg,-0.03475555555555555,0.27886,0.40277038371757173,2,-0.3592803600000001,-0.01733815111111112,0,1,-0.1111111111111111,-0.09396507936507939,-0.010301010101010099,-0.4588
166,Macbeth,But how of Cawdor? The Thane of Cawdor lives,1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,-0.060880000000000004,0.32355999999999996,0.4029395947285399,2,0.0,-0.024365936000000005,0,0,-0.2,-0.09094190476190478,-0.005170909090909094,-0.3058666666666667
167,Macbeth,"A prosperous gentleman, and to be king",1,3,3,"Act 1, Scene 3",0.0,0.659,0.341,0.4767,pos,-0.020636363636363633,0.31911999999999996,0.40050197627477446,2,0.22724289,-0.008898920000000006,1,0,-0.09090909090909088,-0.04350303030303032,0.0003636363636363646,-0.04090000000000005
168,Macbeth,"Stands not within the prospect of belief,",1,3,3,"Act 1, Scene 3",0.239,0.761,0.0,-0.2235,neg,-0.05467272727272727,0.25388,0.3274265367987146,2,-0.049952250000000004,-0.021642134545454553,0,1,-0.18181818181818182,-0.05120606060606062,-0.013736363636363637,0.08439999999999999
169,Macbeth,No more than to be Cawdor. Say from whence,1,3,3,"Act 1, Scene 3",0.216,0.784,0.0,-0.296,neg,-0.05467272727272727,0.31307999999999997,0.36269984422384305,2,-0.08761599999999999,-0.021642134545454553,0,1,-0.18181818181818182,-0.018187012987013,0.0,-0.01426666666666665
170,Macbeth,You owe this strange intelligence or why,1,3,3,"Act 1, Scene 3",0.198,0.495,0.307,0.2732,pos,-0.025745454545454547,0.2941,0.3318289016948343,2,0.07463824,-0.012437476363636372,1,0,-0.09090909090909094,0.027940259740259713,0.0,-0.08209999999999999
171,Macbeth,Upon this blasted heath you stop our way,1,3,3,"Act 1, Scene 3",0.239,0.761,0.0,-0.296,neg,0.02874545454545455,0.24939999999999998,0.3141845317643757,2,-0.08761599999999999,0.020224374545454546,0,1,0.0,0.08470735930735929,0.0,-0.10626666666666666
