line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
746,Macduff,"Was it so late, friend, ere you went to bed",2,3,10,"Act 2, Scene 3",0.0,0.721,0.279,0.539,pos,0.02285000000000001,0.17966666666666667,0.3111917950932083,0,0.29052100000000003,0.02149956500000001,1,0,0.0,0.015830952380952362,-0.07194090909090906,0.539
747,Macduff,That you do lie so late?,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.019585714285714293,0.23522500000000002,0.38615433335218013,0,0.0,0.018428198571428578,0,0,0.0,0.012566666666666644,-0.10942337662337659,0.2695
751,Macduff,What three things does drink especially,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.07218750000000002,0.18818000000000001,0.3347705662091577,1,0.0,0.040368693750000004,0,0,0.125,0.06533511904761903,0.0032875000000000404,0.0
752,Macduff,provoke?,2,3,10,"Act 2, Scene 3",1.0,0.0,0.0,-0.4019,neg,0.06416666666666668,0.08038,0.1797351440314331,1,-0.16152360999999998,0.035883283333333335,0,1,0.1111111111111111,0.02025238095238094,0.044266666666666704,-0.20095
763,Macduff,I believe drink gave thee the lie last night.,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.05775000000000001,0.08038,0.1797351440314331,2,0.0,0.032294955,0,0,0.1,-0.01863571428571431,0.025322727272727302,0.0
768,Macduff,Is thy master stirring?,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.07940909090909092,0.16846,0.2979846136967478,3,0.0,0.03732414090909091,0,0,0.1818181818181818,-0.02740519480519485,-0.11159090909090909,0.0
769,Macduff,Our knocking has awaked him. Here he comes.,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.03040909090909091,0.08808,0.19695286745818147,3,0.0,0.01091314090909091,0,0,0.09090909090909091,-0.08369567099567103,-0.1605909090909091,0.0
772,Macduff,"Is the King stirring, worthy thane?",2,3,10,"Act 2, Scene 3",0.0,0.633,0.367,0.4404,pos,0.07780909090909091,0.08808,0.19695286745818147,4,0.19395216,0.035627500909090906,1,0,0.1818181818181818,-0.05767662337662341,-0.09368181818181817,0.4404
774,Macduff,He did command me to call timely on him.,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.057236363636363634,0.14728,0.20803315120432125,5,0.0,0.03097189272727273,0,0,0.09090909090909088,-0.07824935064935068,-0.12817272727272724,0.0
775,Macduff,I have almost slipped the hour.,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.011227272727272723,0.14728,0.20803315120432125,5,0.0,-0.029295415454545462,0,0,0.09090909090909088,-0.1242584415584416,-0.17418181818181816,0.0
777,Macduff,"I know this is a joyful trouble to you,",2,3,10,"Act 2, Scene 3",0.199,0.515,0.287,0.296,pos,-0.04023636363636364,0.16348000000000001,0.23761597589387792,6,0.08761599999999999,-0.05842898000000001,1,0,0.0,-0.1295601731601732,-0.1479272727272727,0.296
778,Macduff,But yet ’tis one.,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.0002000000000000032,0.20874,0.2918928776109482,6,0.0,-0.04079696545454547,0,0,0.09090909090909094,-0.06098095238095242,-0.06785454545454543,0.148
781,Macduff,"I’ll make so bold to call,",2,3,10,"Act 2, Scene 3",0.0,0.598,0.402,0.5214,pos,-0.07571818181818181,0.39034,0.5511498271795067,7,0.27185795999999995,-0.1035299190909091,1,0,0.0,-0.028151515151515177,-0.14337272727272724,0.5214
782,Macduff,For ’tis my limited service.,2,3,10,"Act 2, Scene 3",0.322,0.678,0.0,-0.2263,neg,-0.11575454545454544,0.44436,0.5454343819379193,7,-0.05121169,-0.12116193363636364,0,1,-0.09090909090909094,-0.06635454545454547,-0.14169999999999996,0.14755
797,Macduff,"O horror, horror, horror!",2,3,10,"Act 2, Scene 3",0.919,0.081,0.0,-0.908,neg,-0.11575454545454544,0.53244,0.6230668158392003,8,-0.8244640000000001,-0.12116193363636364,0,1,-0.09090909090909094,0.11190259740259739,0.031027272727272792,-0.908
