line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
17,Malcolm,This is the sergeant,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.3121833333333333,0.49476666666666674,0.43051941109935254,0,0.0,0.21606094833333334,0,0,0.33333333333333337,0.2895642857142857,0.20221060606060604,0.0
18,Malcolm,"Who, like a good and hardy soldier, fought",1,2,2,"Act 1, Scene 2",0.16,0.278,0.562,0.7003,pos,0.26758571428571426,0.37107500000000004,0.42984084942375284,0,0.49042009000000003,0.18519509857142857,1,0,0.2857142857142857,0.24496666666666664,0.20828571428571424,0.35015
19,Malcolm,"’Gainst my captivity.—Hail, brave friend!",1,2,2,"Act 1, Scene 2",0.0,0.303,0.697,0.784,pos,0.2341375,0.30718,0.4174963448941799,0,0.6146560000000001,0.16204571125,1,0,0.25,0.18967083333333334,0.2241375,0.49476666666666674
20,Malcolm,Say to the King the knowledge of the broil,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.14152222222222222,0.39526000000000006,0.3872951355232854,0,0.0,0.10412059222222221,0,0,0.1111111111111111,0.13017936507936506,0.06255858585858586,0.49476666666666674
21,Malcolm,As thou didst leave it.,1,2,2,"Act 1, Scene 2",0.231,0.769,0.0,-0.0516,neg,0.12737,0.25520000000000004,0.36612113842279037,0,-0.00266256,0.093708533,0,1,0.09999999999999998,0.08409857142857144,0.09482454545454547,0.24413333333333334
63,Malcolm,The worthy Thane of Ross.,1,2,2,"Act 1, Scene 2",0.0,0.58,0.42,0.4404,pos,0.14471818181818183,0.0984,0.2039495231668856,1,0.19395216,0.09439423363636364,1,0,0.18181818181818182,0.0697896103896104,-0.03767272727272725,0.4404
269,Malcolm,"My liege,",1,4,4,"Act 1, Scene 4",0.0,1.0,0.0,0.0,neu,0.14471818181818183,0.21828000000000003,0.36980555972024004,2,0.0,0.09439423363636364,0,0,0.18181818181818182,0.12347532467532467,0.01576363636363637,0.0
270,Malcolm,They are not yet come back. But I have spoke,1,4,4,"Act 1, Scene 4",0.0,1.0,0.0,0.0,neu,0.05621818181818183,0.20796,0.37019465150107184,2,0.0,0.04302529454545455,0,0,0.0,0.03497532467532467,0.026872727272727277,0.0
271,Malcolm,"With one that saw him die, who did report",1,4,4,"Act 1, Scene 4",0.328,0.672,0.0,-0.5994,neg,-0.06954545454545456,0.18352,0.33343549301176684,2,-0.3592803600000001,-0.04551437454545457,0,1,-0.18181818181818182,-0.09078831168831172,-0.007990909090909104,-0.1998
272,Malcolm,"That very frankly he confessed his treasons,",1,4,4,"Act 1, Scene 4",0.0,1.0,0.0,0.0,neu,-0.018872727272727284,0.18352,0.33343549301176684,2,0.0,-0.017269396363636377,0,0,-0.09090909090909094,-0.06442987012987016,0.03534545454545453,-0.1998
273,Malcolm,"Implored your Highness’ pardon, and set forth",1,4,4,"Act 1, Scene 4",0.0,0.723,0.277,0.3182,pos,-0.04701818181818183,0.23816,0.3441285980560175,2,0.10125123999999999,-0.028887840000000012,1,0,-0.09090909090909094,-0.0925753246753247,0.04003636363636363,-0.09373333333333335
274,Malcolm,A deep repentance. Nothing in his life,1,4,4,"Act 1, Scene 4",0.0,1.0,0.0,0.0,neu,-0.08705454545454548,0.23815999999999998,0.3441285980560175,2,0.0,-0.046519854545454556,0,0,-0.18181818181818182,-0.10606883116883122,0.026909090909090883,0.10606666666666666
275,Malcolm,Became him like the leaving it. He died,1,4,4,"Act 1, Scene 4",0.298,0.496,0.207,-0.2732,neg,-0.08705454545454548,0.34964,0.4598539985691111,2,-0.07463824,-0.046519854545454556,0,1,-0.18181818181818182,-0.06690216450216455,0.026909090909090883,0.014999999999999994
276,Malcolm,As one that had been studied in his death,1,4,4,"Act 1, Scene 4",0.328,0.672,0.0,-0.5994,neg,-0.08705454545454548,0.35824,0.4425989742419203,2,-0.3592803600000001,-0.046519854545454556,0,1,-0.18181818181818182,-0.047830735930735974,0.026909090909090883,-0.29086666666666666
277,Malcolm,To throw away the dearest thing he owed,1,4,4,"Act 1, Scene 4",0.0,0.66,0.34,0.5574,pos,-0.07217272727272728,0.35824,0.4425989742419203,2,0.31069476,-0.031115684545454547,1,0,-0.18181818181818182,-0.010248917748917771,-0.05911818181818183,-0.10506666666666668
278,Malcolm,As ’twere a careless trifle.,1,4,4,"Act 1, Scene 4",0.385,0.615,0.0,-0.3612,neg,-0.07043636363636364,0.3036,0.4381570814217203,2,-0.13046544000000002,-0.031082520000000002,0,1,-0.18181818181818182,-0.029483982683982717,-0.057381818181818194,-0.13440000000000002
842,Malcolm,"O, by whom?",2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.09936363636363638,0.18371999999999997,0.3291888941018515,3,0.0,-0.04028717818181818,0,0,-0.2727272727272727,0.009903030303030247,0.009263636363636377,0.0
864,Malcolm,Why do we hold our,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.05006363636363638,0.15938,0.21982379761982093,4,0.0,-0.01355178818181818,0,0,-0.18181818181818182,-0.02924458874458879,-0.18030909090909092,0.0
865,Malcolm,"tongues,",2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.02522727272727274,0.09095999999999997,0.19715995283018298,4,0.0,-0.006766493636363638,0,0,-0.09090909090909088,0.02141558441558437,-0.1572090909090909,0.0
866,Malcolm,That most may claim this argument for ours?,2,3,10,"Act 2, Scene 3",0.291,0.709,0.0,-0.4357,neg,-0.018618181818181822,0.09095999999999997,0.19715995283018298,4,-0.18983448999999997,0.0006760036363636444,0,1,-0.09090909090909088,-0.01271341991341995,-0.06629090909090907,-0.14523333333333333
870,Malcolm,Nor our strong sorrow upon the foot of motion.,2,3,10,"Act 2, Scene 3",0.217,0.561,0.222,0.0191,neu,-0.029254545454545453,0.19942,0.3468171319297822,5,0.00036480999999999997,-0.009936959999999993,0,0,-0.09090909090909088,-0.013711688311688343,0.19125454545454548,0.0191
