line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
897,Old Man,"Threescore and ten I can remember well,",2,4,11,"Act 2, Scene 4",0.0,0.741,0.259,0.2732,pos,-0.06793333333333333,0.318,0.49129809009737996,0,0.07463824,-0.0648084,1,0,0.0,0.03566666666666664,-0.02046969696969693,0.2732
898,Old Man,Within the volume of which time I have seen,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.00662857142857142,0.2385,0.40685478162771205,0,0.0,-0.03691213714285714,0,0,0.14285714285714285,0.07689999999999998,0.08438961038961043,0.1366
899,Old Man,"Hours dreadful and things strange, but this sore",2,4,11,"Act 2, Scene 4",0.569,0.431,0.0,-0.6808,neg,0.03670000000000001,0.1908,0.3552813420375463,0,-0.46348863999999995,-0.017848119999999995,0,1,0.25,0.14029999999999998,0.16176363636363641,-0.13586666666666666
900,Old Man,night,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.041877777777777764,0.13616,0.3044630158163713,0,0.0,-0.06581724555555556,0,0,0.1111111111111111,0.0672222222222222,0.08318585858585864,-0.22693333333333332
901,Old Man,Hath trifled former knowings.,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.03768999999999999,0.2084,0.3786572487091723,0,0.0,-0.059235521,0,0,0.09999999999999998,0.03424809523809523,0.13071000000000005,-0.22693333333333332
909,Old Man,"’Tis unnatural,",2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.03426363636363636,0.14024,0.19217775105354934,1,0.0,-0.05385047363636364,0,0,0.09090909090909088,0.043512554112554086,0.051500000000000046,0.0
910,Old Man,Even like the deed that’s done. On Tuesday last,2,4,11,"Act 2, Scene 4",0.0,0.762,0.238,0.3612,pos,-0.05909999999999999,0.27434000000000003,0.416967382417378,1,0.13046544000000002,-0.06063576818181817,1,0,0.0,-0.01374285714285716,-0.0932545454545454,0.1806
911,Old Man,"A falcon, tow’ring in her pride of place,",2,4,11,"Act 2, Scene 4",0.0,0.745,0.255,0.34,pos,-0.07073636363636363,0.27434000000000003,0.416967382417378,1,0.11560000000000002,-0.06212522272727272,1,0,-0.09090909090909088,-0.05120303030303032,-0.06657272727272721,0.23373333333333335
912,Old Man,Was by a mousing owl hawked at and killed.,2,4,11,"Act 2, Scene 4",0.36,0.64,0.0,-0.6705,neg,-0.009729999999999994,0.27434000000000003,0.416967382417378,1,-0.44957025,-0.021988881000000005,0,1,0.0,0.009803333333333315,-0.04890272727272722,0.010233333333333353
919,Old Man,’Tis said they eat each,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.010811111111111105,0.2021,0.3685526421015049,2,0.0,-0.024432090000000004,0,0,0.0,-0.005063492063492082,-0.09113838383838378,0.0
920,Old Man,other.,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.012162499999999993,0.1597,0.29087531693149893,2,0.0,-0.027486101250000006,0,0,0.0,-0.02361488095238097,-0.06765340909090903,0.0
951,Old Man,God’s benison go with you and with those,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.013899999999999992,0.032,0.06399999999999977,3,0.0,-0.03141268714285715,0,0,0.0,-0.10506666666666668,-0.0941454545454545,0.0
952,Old Man,That would make good of bad and friends of foes.,2,4,11,"Act 2, Scene 4",0.351,0.324,0.324,-0.128,neg,-0.07641666666666666,0.042666666666666665,0.07390083445627177,3,-0.016384,-0.05839237500000002,0,1,-0.16666666666666666,-0.15737380952380953,-0.15666212121212117,-0.064
