line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
1033,Second Murderer,"It was, so please your Highness.",3,1,12,"Act 3, Scene 1",0.0,0.626,0.374,0.4572,pos,-0.16511666666666666,0.3607,0.5432114781556074,0,0.20903184,-0.13274260833333335,0,0,0.16666666666666666,-0.2904119047619048,-0.34497121212121207,0.4572
1073,Second Murderer,"I am one, my liege,",3,1,12,"Act 3, Scene 1",0.0,1.0,0.0,0.0,neu,-0.14152857142857142,0.449975,0.5533959183983922,0,0.0,-0.11377937857142859,0,0,0.14285714285714285,-0.06016190476190478,0.07188051948051949,0.2286
1074,Second Murderer,Whom the vile blows and buffets of the world,3,1,12,"Act 3, Scene 1",0.339,0.661,0.0,-0.6249,neg,-0.12383749999999999,0.46532,0.4983271545882283,1,-0.39050001,-0.09955695625000001,0,0,0.125,-0.02149940476190479,0.06684431818181821,-0.6249
1075,Second Murderer,Hath so incensed that I am reckless what,3,1,12,"Act 3, Scene 1",0.5,0.5,0.0,-0.7178,neg,-0.0903111111111111,0.4581799999999999,0.4851621141433036,2,-0.51523684,-0.08497858222222222,0,0,0.1111111111111111,0.012026984126984094,0.051070707070707086,-0.7178
1076,Second Murderer,I do to spite the world.,3,1,12,"Act 3, Scene 1",0.405,0.595,0.0,-0.5267,neg,-0.08127999999999999,0.4581799999999999,0.4851621141433036,3,-0.27741288999999997,-0.076480724,1,0,0.1,0.02105809523809521,0.1378745454545455,-0.5267
1083,Second Murderer,"True, my lord.",3,1,12,"Act 3, Scene 1",0.0,0.417,0.583,0.4215,pos,-0.07389090909090909,0.3332,0.4568495868445106,3,0.17766225,-0.06952793090909092,0,0,0.0,-0.003252813852813896,0.02164545454545458,-0.05259999999999998
1095,Second Murderer,"We shall, my lord,",3,1,12,"Act 3, Scene 1",0.0,1.0,0.0,0.0,neu,-0.11545454545454546,0.22521999999999998,0.3484488814733089,4,0.0,-0.08853082545454545,0,0,0.0,-0.19492121212121216,-0.18818181818181817,0.0
1096,Second Murderer,Perform what you command us.,3,1,12,"Act 3, Scene 1",0.0,1.0,0.0,0.0,neu,-0.11545454545454546,0.11987999999999999,0.18537434288487736,5,0.0,-0.08853082545454545,0,0,0.0,-0.19492121212121216,-0.2026181818181818,0.0
1111,Second Murderer,"We are resolved, my lord.",3,1,12,"Act 3, Scene 1",0.0,0.702,0.298,0.1779,pos,-0.05864545454545455,0.03558,0.07955929863944296,5,0.03164841,-0.05303082454545454,0,0,0.09090909090909091,-0.15162640692640697,-0.1785363636363636,0.08895
1180,Second Murderer,"He needs not our mistrust, since he delivers",3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.0066090909090909125,0.03558,0.07955929863944296,5,0.0,-0.006191111818181816,0,0,0.09090909090909091,-0.03766709956709959,0.010000000000000023,0.0593
1181,Second Murderer,Our offices and what we have to do,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.05449090909090908,0.03558,0.07955929863944296,5,0.0,0.019028241818181815,0,1,0.09090909090909091,0.01021471861471858,0.010000000000000016,0.0593
1182,Second Murderer,To the direction just.,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.0562090909090909,0.0,0.0,5,0.0,0.020509142727272726,0,0,0.09090909090909091,0.0119329004329004,-0.029990909090909068,0.0
1190,Second Murderer,Then ’tis he. The rest,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.0562090909090909,0.0,0.0,5,0.0,0.020509142727272726,0,0,0.09090909090909091,0.031128138528138494,0.008327272727272746,0.0
1191,Second Murderer,That are within the note of expectation,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.061829999999999996,0.0,0.0,5,0.0,0.022560057,1,0,0.1,0.036749047619047584,0.013948181818181839,0.0
1192,Second Murderer,Already are i’ th’ court.,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.04893333333333333,0.08808,0.1969528674581817,5,0.0,0.02155024,0,0,0.1111111111111111,-0.0018571428571428905,0.04893333333333333,0.0
1197,Second Murderer,"A light, a light!",3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.055049999999999995,0.08808,0.1969528674581817,6,0.0,0.024244019999999998,1,0,0.125,0.03543571428571425,0.005968181818181831,0.0
1208,Second Murderer,We have lost best half of our,3,3,14,"Act 3, Scene 3",0.2,0.435,0.365,0.4404,pos,0.06291428571428571,0.1101,0.22020000000000026,7,0.19395216,0.027707451428571426,0,0,0.2857142857142857,-0.13130000000000003,-0.07206753246753246,0.4404
1209,Second Murderer,affair.,3,3,14,"Act 3, Scene 3",0.0,1.0,0.0,0.0,neu,0.07339999999999999,0.1468,0.25426505855111153,7,0.0,0.03232536,0,0,0.3333333333333333,-0.15900476190476193,-0.06158181818181818,0.2202
