speaker,act,scene,line_number,word_pos_in_line,word,total_words_in_line,pos,lemma,opinion_label,afinn_score,afinn_label,afinn_intensity,word_length,motif,theme
First Witch,1,1,1,1,when,6,SCONJ,when,neu,0.0,neu,0.0,4,,
First Witch,1,1,1,2,shall,6,AUX,shall,neu,0.0,neu,0.0,5,,
First Witch,1,1,1,3,we,6,PRON,we,neu,0.0,neu,0.0,2,,
First Witch,1,1,1,4,three,6,NUM,three,neu,0.0,neu,0.0,5,,
First Witch,1,1,1,5,meet,6,VERB,meet,neu,0.0,neu,0.0,4,,
First Witch,1,1,1,6,again,6,ADV,again,neu,0.0,neu,0.0,5,,
First Witch,1,1,2,1,in,6,ADP,in,neu,0.0,neu,0.0,2,,
First Witch,1,1,2,2,thunder,6,NOUN,thunder,neu,0.0,neu,0.0,7,storm,Order vs. Disorder
First Witch,1,1,2,3,lightning,6,NOUN,lightning,neu,0.0,neu,0.0,9,storm,Order vs. Disorder
First Witch,1,1,2,4,or,6,CCONJ,or,neu,0.0,neu,0.0,2,,
First Witch,1,1,2,5,in,6,ADP,in,neu,0.0,neu,0.0,2,,
First Witch,1,1,2,6,rain,6,NOUN,rain,neu,0.0,neu,0.0,4,,
Second Witch,1,1,3,1,when,4,SCONJ,when,neu,0.0,neu,0.0,4,,
Second Witch,1,1,3,2,the,4,DET,the,neu,0.0,neu,0.0,3,,
Second Witch,1,1,3,3,hurlyburly’s,4,ADV,hurlyburly,neu,0.0,neu,0.0,12,,
Second Witch,1,1,3,4,done,4,VERB,do,neu,0.0,neu,0.0,4,,
Second Witch,1,1,4,1,when,6,SCONJ,when,neu,0.0,neu,0.0,4,,
Second Witch,1,1,4,2,the,6,DET,the,neu,0.0,neu,0.0,3,,
Second Witch,1,1,4,3,battle’s,6,NOUN,battle,neu,-1.0,neg,1.0,8,,
Second Witch,1,1,4,4,lost,6,VERB,lose,neg,0.0,neu,0.0,4,,
Second Witch,1,1,4,5,and,6,CCONJ,and,neu,0.0,neu,0.0,3,,
Second Witch,1,1,4,6,won,6,VERB,win,pos,4.0,pos,4.0,3,,
Third Witch,1,1,5,1,that,8,SCONJ,that,neu,0.0,neu,0.0,4,,
Third Witch,1,1,5,2,will,8,AUX,will,neu,0.0,neu,0.0,4,,
Third Witch,1,1,5,3,be,8,AUX,be,neu,0.0,neu,0.0,2,,
Third Witch,1,1,5,4,ere,8,VERB,ere,neu,0.0,neu,0.0,3,,
Third Witch,1,1,5,5,the,8,DET,the,neu,0.0,neu,0.0,3,,
Third Witch,1,1,5,6,set,8,VERB,set,neu,0.0,neu,0.0,3,,
Third Witch,1,1,5,7,of,8,ADP,of,neu,0.0,neu,0.0,2,,
Third Witch,1,1,5,8,sun,8,PROPN,sun,neu,0.0,neu,0.0,3,,
First Witch,1,1,6,1,where,3,SCONJ,where,neu,0.0,neu,0.0,5,,
First Witch,1,1,6,2,the,3,DET,the,neu,0.0,neu,0.0,3,,
First Witch,1,1,6,3,place,3,NOUN,place,neu,0.0,neu,0.0,5,,
Second Witch,1,1,7,1,upon,3,SCONJ,upon,neu,0.0,neu,0.0,4,,
Second Witch,1,1,7,2,the,3,DET,the,neu,0.0,neu,0.0,3,,
Second Witch,1,1,7,3,heath,3,NOUN,heath,neu,0.0,neu,0.0,5,,
Third Witch,1,1,8,1,there,5,PRON,there,neu,0.0,neu,0.0,5,,
Third Witch,1,1,8,2,to,5,PART,to,neu,0.0,neu,0.0,2,,
Third Witch,1,1,8,3,meet,5,VERB,meet,neu,0.0,neu,0.0,4,,
Third Witch,1,1,8,4,with,5,ADP,with,neu,0.0,neu,0.0,4,,
Third Witch,1,1,8,5,macbeth,5,PROPN,macbeth,neu,0.0,neu,0.0,7,,
First Witch,1,1,9,1,i,3,PRON,I,neu,0.0,neu,0.0,1,,
First Witch,1,1,9,2,come,3,VERB,come,neu,0.0,neu,0.0,4,,
First Witch,1,1,9,3,graymalkin,3,NOUN,graymalkin,neu,0.0,neu,0.0,10,,
Second Witch,1,1,10,1,paddock,2,NOUN,paddock,neu,0.0,neu,0.0,7,,
Second Witch,1,1,10,2,calls,2,NOUN,call,neu,0.0,neu,0.0,5,,
Third Witch,1,1,11,1,anon,1,PROPN,anon,neu,0.0,neu,0.0,4,,
Second Witch,1,1,12,1,fair,7,ADJ,fair,pos,2.0,pos,2.0,4,,
Second Witch,1,1,12,2,is,7,AUX,be,neu,0.0,neu,0.0,2,,
Second Witch,1,1,12,3,foul,7,PROPN,foul,neg,-3.0,neg,3.0,4,,
Second Witch,1,1,12,4,and,7,CCONJ,and,neu,0.0,neu,0.0,3,,
Second Witch,1,1,12,5,foul,7,PROPN,foul,neg,-3.0,neg,3.0,4,,
Second Witch,1,1,12,6,is,7,AUX,be,neu,0.0,neu,0.0,2,,
Second Witch,1,1,12,7,fair,7,ADJ,fair,pos,2.0,pos,2.0,4,,
First Witch,1,1,13,1,hover,7,ADV,hover,neu,0.0,neu,0.0,5,,
First Witch,1,1,13,2,through,7,ADP,through,neu,0.0,neu,0.0,7,,
First Witch,1,1,13,3,the,7,DET,the,neu,0.0,neu,0.0,3,,
First Witch,1,1,13,4,fog,7,NOUN,fog,neu,0.0,neu,0.0,3,,
First Witch,1,1,13,5,and,7,CCONJ,and,neu,0.0,neu,0.0,3,,
First Witch,1,1,13,6,filthy,7,ADJ,filthy,neg,-2.0,neg,2.0,6,,
First Witch,1,1,13,7,air,7,NOUN,air,neu,0.0,neu,0.0,3,,
Duncan,1,2,14,1,what,8,PRON,what,neu,0.0,neu,0.0,4,,
Duncan,1,2,14,2,bloody,8,ADJ,bloody,neg,-3.0,neg,3.0,6,blood,Guilt & Conscience
Duncan,1,2,14,3,man,8,NOUN,man,neu,0.0,neu,0.0,3,,
Duncan,1,2,14,4,is,8,AUX,be,neu,0.0,neu,0.0,2,,
Duncan,1,2,14,5,that,8,SCONJ,that,neu,0.0,neu,0.0,4,,
Duncan,1,2,14,6,he,8,PRON,he,neu,0.0,neu,0.0,2,,
Duncan,1,2,14,7,can,8,AUX,can,neu,0.0,neu,0.0,3,,
Duncan,1,2,14,8,report,8,VERB,report,neu,0.0,neu,0.0,6,,
Duncan,1,2,15,1,as,8,ADP,as,neu,0.0,neu,0.0,2,,
Duncan,1,2,15,2,seemeth,8,NOUN,seemeth,neu,0.0,neu,0.0,7,,
Duncan,1,2,15,3,by,8,ADP,by,neu,0.0,neu,0.0,2,,
Duncan,1,2,15,4,his,8,PRON,his,neu,0.0,neu,0.0,3,,
Duncan,1,2,15,5,plight,8,NOUN,plight,neg,0.0,neu,0.0,6,,
Duncan,1,2,15,6,of,8,ADP,of,neu,0.0,neu,0.0,2,,
Duncan,1,2,15,7,the,8,DET,the,neu,0.0,neu,0.0,3,,
Duncan,1,2,15,8,revolt,8,NOUN,revolt,neg,0.0,neu,0.0,6,,
Duncan,1,2,16,1,the,3,DET,the,neu,0.0,neu,0.0,3,,
Duncan,1,2,16,2,newest,3,ADJ,new,neu,0.0,neu,0.0,6,,
Duncan,1,2,16,3,state,3,NOUN,state,neu,0.0,neu,0.0,5,,
Malcolm,1,2,17,1,this,4,PRON,this,neu,0.0,neu,0.0,4,,
Malcolm,1,2,17,2,is,4,AUX,be,neu,0.0,neu,0.0,2,,
Malcolm,1,2,17,3,the,4,DET,the,neu,0.0,neu,0.0,3,,
Malcolm,1,2,17,4,sergeant,4,NOUN,sergeant,neu,0.0,neu,0.0,8,,
Malcolm,1,2,18,1,who,8,PRON,who,neu,0.0,neu,0.0,3,,
Malcolm,1,2,18,2,like,8,INTJ,like,pos,2.0,pos,2.0,4,,
Malcolm,1,2,18,3,a,8,DET,a,neu,0.0,neu,0.0,1,,
Malcolm,1,2,18,4,good,8,ADJ,good,pos,3.0,pos,3.0,4,,
Malcolm,1,2,18,5,and,8,CCONJ,and,neu,0.0,neu,0.0,3,,
