line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
2127,Caithness,Who knows if Donalbain be with his brother?,5,2,22,"Act 5, Scene 2",0.0,1.0,0.0,0.0,neu,0.004633333333333334,0.5065333333333334,0.7599338151005871,0,0.0,-0.011518066666666651,0,0,0.16666666666666666,-0.07305238095238098,0.007451515151515235,0.0
2133,Caithness,Great Dunsinane he strongly fortifies.,5,2,22,"Act 5, Scene 2",0.0,0.326,0.674,0.7351,pos,0.043,0.3992,0.6222483132426583,1,0.54037201,0.0007899771428571559,1,0,0.2857142857142857,0.09101904761904758,0.03836363636363644,0.7351
2134,Caithness,Some say he’s mad; others that lesser hate him,5,2,22,"Act 5, Scene 2",0.496,0.504,0.0,-0.7845,neg,0.09267500000000001,0.31936,0.5388918101066299,1,-0.6154402499999999,0.024935250000000013,0,1,0.375,0.13116071428571424,0.16854772727272738,-0.0247
2135,Caithness,Do call it valiant fury. But for certain,5,2,22,"Act 5, Scene 2",0.214,0.545,0.241,0.0772,pos,0.08237777777777779,0.31936,0.5388918101066299,1,0.005959840000000001,0.02216466666666668,1,0,0.3333333333333333,0.15975396825396823,0.15825050505050514,0.009266666666666668
2136,Caithness,He cannot buckle his distempered cause,5,2,22,"Act 5, Scene 2",0.0,1.0,0.0,0.0,neu,0.07414000000000001,0.22698000000000002,0.4056937786064756,1,0.0,0.01994820000000001,0,0,0.30000000000000004,0.15151619047619047,0.15001272727272735,-0.23576666666666665
2137,Caithness,Within the belt of rule.,5,2,22,"Act 5, Scene 2",0.0,1.0,0.0,0.0,neu,0.042563636363636366,0.15816,0.19331147922459252,1,0.0,0.011349432727272736,0,0,0.18181818181818182,0.151130303030303,0.1431272727272728,0.025733333333333348
2149,Caithness,"Well, march we on",5,2,22,"Act 5, Scene 2",0.0,0.588,0.412,0.2732,pos,0.04682,0.14272,0.20417235856011476,2,0.07463824,0.01248437600000001,1,0,0.2,0.15971999999999997,0.12028363636363644,0.2732
2150,Caithness,To give obedience where ’tis truly owed.,5,2,22,"Act 5, Scene 2",0.0,0.674,0.326,0.4404,pos,-0.029655555555555553,0.14272,0.20417235856011476,2,0.19395216,-0.04616980555555555,1,0,0.1111111111111111,0.054082539682539656,0.047917171717171796,0.3568
2151,Caithness,"Meet we the med’cine of the sickly weal,",5,2,22,"Act 5, Scene 2",0.0,1.0,0.0,0.0,neu,0.06470000000000001,0.19735999999999998,0.2758795969259054,2,0.0,0.024988999999999997,0,0,0.25,0.1484380952380952,0.11136363636363644,0.23786666666666667
2152,Caithness,And with him pour we in our country’s purge,5,2,22,"Act 5, Scene 2",0.0,1.0,0.0,0.0,neu,0.06291428571428573,0.1784,0.29529727394610344,2,0.0,0.027707451428571426,0,0,0.14285714285714285,0.1619285714285714,0.13648701298701307,0.1468
2153,Caithness,Each drop of us.,5,2,22,"Act 5, Scene 2",0.412,0.588,0.0,-0.2732,neg,0.0734,0.09106666666666664,0.15773209354260595,2,-0.07463824,0.03232536,0,1,0.16666666666666666,0.14757619047619044,0.11226363636363645,-0.09106666666666667
