line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
22,Captain,"Doubtful it stood,",1,2,2,"Act 1, Scene 2",0.545,0.455,0.0,-0.34,neg,-0.1791166666666667,0.29410000000000003,0.2740482256829991,0,-0.11560000000000002,-0.09485840166666669,0,1,-0.33333333333333337,-0.22238809523809527,-0.21166212121212125,-0.34
23,Captain,As two spent swimmers that do cling together,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.15352857142857146,0.30012500000000003,0.3792045742955465,0,0.0,-0.08130720142857144,0,0,-0.2857142857142857,-0.1492857142857143,-0.186074025974026,-0.17
24,Captain,And choke their art. The merciless Macdonwald,1,2,2,"Act 1, Scene 2",0.368,0.632,0.0,-0.5423,neg,-0.07698750000000003,0.34222,0.3676468658917141,0,-0.29408929,-0.044831621250000016,0,1,-0.125,-0.08994464285714288,-0.08757840909090912,-0.29410000000000003
25,Captain,"(Worthy to be a rebel, for to that",1,2,2,"Act 1, Scene 2",0.152,0.571,0.276,0.3182,pos,-0.14572222222222223,0.27422,0.37016755395361167,0,0.10125123999999999,-0.09361248111111113,1,0,-0.2222222222222222,-0.17965079365079364,-0.02180404040404041,-0.0747
26,Captain,The multiplying villainies of nature,1,2,2,"Act 1, Scene 2",0.452,0.548,0.0,-0.5106,neg,-0.06410000000000002,0.27422,0.37016755395361167,0,-0.26071236000000003,-0.03929420800000001,0,1,-0.10000000000000003,-0.09313809523809526,-0.0011363636363636576,-0.24490000000000003
27,Captain,Do swarm upon him) from the Western Isles,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.058272727272727295,0.25751999999999997,0.3735864183826816,0,0.0,-0.035722007272727285,0,0,-0.09090909090909094,-0.08731082251082253,-2.0816681711721685e-17,-0.06413333333333338
28,Captain,Of kerns and gallowglasses is supplied;,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.06740000000000003,0.333,0.4591698509266478,0,0.0,-0.04284493090909092,0,0,-0.09090909090909094,-0.09154761904761907,-2.7755575615628914e-17,-0.17020000000000005
29,Captain,"And Fortune, on his damnèd quarrel smiling,",1,2,2,"Act 1, Scene 2",0.0,0.667,0.333,0.4588,pos,-0.03456363636363638,0.36497999999999997,0.5259058642000486,0,0.21049743999999998,-0.03098443636363637,1,0,0.0,-0.04882077922077924,-2.0816681711721685e-17,0.15293333333333334
30,Captain,Showed like a rebel’s whore. But all’s too weak;,1,2,2,"Act 1, Scene 2",0.456,0.421,0.123,-0.6956,neg,0.014736363636363619,0.36497999999999997,0.5259058642000486,0,-0.48385936,-0.004249046363636372,0,1,0.09090909090909094,0.037812554112554096,-1.9081958235744878e-17,-0.07893333333333334
31,Captain,"For brave Macbeth (well he deserves that name),",1,2,2,"Act 1, Scene 2",0.0,0.522,0.478,0.6705,pos,-0.023527272727272744,0.45305999999999996,0.5783317023992373,0,0.44957025,-0.014412549090909098,1,0,-0.09090909090909094,0.0293060606060606,-1.734723475976807e-17,0.14456666666666665
32,Captain,"Disdaining Fortune, with his brandished steel,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.022890909090909076,0.43354,0.5602837477564381,0,0.0,0.00928857454545454,0,0,0.0,0.05606709956709954,-2.0816681711721685e-17,-0.00836666666666667
33,Captain,"Which smoked with bloody execution,",1,2,2,"Act 1, Scene 2",0.42,0.58,0.0,-0.4404,neg,0.013554545454545442,0.29442,0.4195416284470469,0,-0.19395216,0.008329729999999995,0,1,-0.09090909090909094,0.03054025974025973,-2.0816681711721685e-17,0.07669999999999999
34,Captain,"Like Valor’s minion, carved out his passage",1,2,2,"Act 1, Scene 2",0.0,0.706,0.294,0.3612,pos,0.013554545454545442,0.18086,0.2865080138495256,0,0.13046544000000002,0.008329729999999995,1,0,-0.09090909090909094,0.0506116883116883,-0.04478181818181819,-0.026399999999999996
35,Captain,Till he faced the slave;,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.08496363636363637,0.18086,0.2865080138495256,0,0.0,-0.04630640181818182,0,0,-0.2727272727272727,-0.04471601731601732,-0.1015909090909091,-0.026399999999999996
36,Captain,"Which ne’er shook hands, nor bade farewell to him,",1,2,2,"Act 1, Scene 2",0.149,0.851,0.0,-0.1027,neg,0.011109090909090902,0.11332,0.1915106341694893,0,-0.010547289999999999,0.009541307272727272,0,1,-0.09090909090909094,0.04068528138528138,-0.011945454545454558,0.08616666666666667
37,Captain,"Till he unseamed him from the nave to th’ chops,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.04984545454545455,0.04108,0.05625110665578011,0,0.0,-0.03132871545454546,0,0,-0.18181818181818182,-0.044583549783549795,-0.04478181818181819,-0.03423333333333333
38,Captain,And fixed his head upon our battlements.,1,2,2,"Act 1, Scene 2",0.189,0.811,0.0,-0.1027,neg,-0.08816363636363637,0.16606,0.2615888816444612,0,-0.010547289999999999,-0.04747982909090909,0,1,-0.2727272727272727,-0.08290173160173162,-0.08310000000000002,-0.06846666666666666
40,Captain,As whence the sun ’gins his reflection,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.10351818181818183,0.21776,0.3551981658173363,1,0.0,-0.06359749545454545,0,0,-0.2727272727272727,-0.03823722943722946,-0.011945454545454565,0.0
41,Captain,"Shipwracking storms and direful thunders break,",1,2,2,"Act 1, Scene 2",0.451,0.549,0.0,-0.6249,neg,-0.08705454545454545,0.21776,0.3551981658173363,1,-0.39050001,-0.0487226,0,1,-0.2727272727272727,-0.054897402597402604,-0.04478181818181819,-0.31245
42,Captain,So from that spring whence comfort seemed to,1,2,2,"Act 1, Scene 2",0.0,0.737,0.263,0.3612,pos,-0.08705454545454545,0.28152,0.38882126099275993,1,0.13046544000000002,-0.0487226,1,0,-0.2727272727272727,-0.042106926406926405,-0.05411818181818183,-0.08789999999999999
43,Captain,come,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.07771818181818183,0.40337999999999996,0.4285814216692085,1,0.0,-0.04776375545454545,0,0,-0.18181818181818182,-0.032770562770562776,-0.0447818181818182,-0.08789999999999999
44,Captain,"Discomfort swells. Mark, King of Scotland, mark:",1,2,2,"Act 1, Scene 2",0.318,0.682,0.0,-0.4215,neg,-0.11055454545454547,0.38686,0.49249934314677,1,-0.17766225,-0.05962425,0,1,-0.2727272727272727,-0.086578354978355,-0.05411818181818186,-0.02009999999999999
