line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
1914,Doctor,"Ay, sir. There are a crew of wretched souls",4,3,20,"Act 4, Scene 3",0.0,1.0,0.0,0.0,neu,0.21789999999999998,0.18316666666666667,0.18585597470442894,0,0.0,0.12402456333333332,0,0,0.5,0.07003809523809518,-0.01807272727272724,0.0
1915,Doctor,That stay his cure. Their malady convinces,4,3,20,"Act 4, Scene 3",0.0,0.779,0.221,0.1779,pos,0.15232857142857142,0.32685,0.3249736861142247,0,0.03164841,0.0980025957142857,1,0,0.2857142857142857,-0.015776190476190527,-0.050807792207792135,0.08895
1916,Doctor,"The great assay of art, but at his touch",4,3,20,"Act 4, Scene 3",0.0,0.758,0.242,0.3716,pos,0.1332875,0.26148,0.3171310565050355,0,0.13808656,0.08575227124999998,1,0,0.25,-0.011298214285714342,-0.002857954545454483,0.18316666666666667
1917,Doctor,(Such sanctity hath heaven given his hand),4,3,20,"Act 4, Scene 3",0.0,0.435,0.565,0.7579,pos,0.1879111111111111,0.26148,0.3171310565050355,0,0.57441241,0.1196131311111111,1,0,0.3333333333333333,0.05847777777777774,-0.005097979797979768,0.43579999999999997
1918,Doctor,They presently amend.,4,3,20,"Act 4, Scene 3",0.0,1.0,0.0,0.0,neu,0.215,0.27412000000000003,0.3914004560549208,0,0.0,0.128701562,0,0,0.4,0.08556666666666662,0.04682727272727277,0.37650000000000006
2036,Doctor,I have two nights watched with you but can,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.17272727272727273,0.1998,0.3805013705625776,1,0.0,0.11131960181818182,0,0,0.2727272727272727,0.07337489177489175,0.17438181818181825,0.0
2037,Doctor,perceive no truth in your report. When was it she,5,1,21,"Act 5, Scene 1",0.179,0.821,0.0,-0.2411,neg,0.17272727272727273,0.1732,0.3237162075028064,1,-0.05812921000000001,0.11131960181818182,0,1,0.2727272727272727,0.08527965367965365,0.16440000000000005,-0.12055
2038,Doctor,last walked?,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.15655454545454547,0.26496,0.3595593511508219,1,0.0,0.10844247363636361,0,0,0.18181818181818182,0.0691069264069264,0.13205454545454554,-0.08036666666666667
2045,Doctor,"A great perturbation in nature, to receive at",5,1,21,"Act 5, Scene 1",0.0,0.631,0.369,0.6249,pos,0.1227727272727273,0.31496,0.4035442069959623,2,0.39050001,0.09588915,1,0,0.09090909090909088,0.08391082251082249,0.04698181818181828,0.6249
2046,Doctor,once the benefit of sleep and do the effects of,5,1,21,"Act 5, Scene 1",0.0,0.75,0.25,0.4588,pos,0.053872727272727274,0.26674,0.36210713607991774,2,0.21049743999999998,0.04366983999999999,1,0,0.0,0.015010822510822475,-0.021918181818181746,0.5418499999999999
2047,Doctor,"watching. In this slumb’ry agitation, besides her",5,1,21,"Act 5, Scene 1",0.25,0.75,0.0,-0.25,neg,0.053872727272727274,0.26674,0.36210713607991774,2,-0.0625,0.04366983999999999,0,1,0.0,0.015010822510822475,-0.021918181818181746,0.2779
2048,Doctor,"walking and other actual performances, what at any",5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.053872727272727274,0.14176,0.25703985683158176,2,0.0,0.04366983999999999,0,0,0.0,0.0035298701298700913,-0.021918181818181746,0.0696
2049,Doctor,time have you heard her say?,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.07579090909090909,0.05,0.11180339887498965,2,0.0,0.04895431363636363,0,0,0.09090909090909091,0.025448051948051907,-0.02031818181818175,-0.08333333333333333
2052,Doctor,"You may to me, and ’tis most meet you",5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.07579090909090909,0.0,0.0,3,0.0,0.04895431363636363,0,0,0.09090909090909091,0.025448051948051907,0.07820000000000006,0.0
2053,Doctor,should.,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.01898181818181818,0.0,0.0,3,0.0,0.013454312727272716,0,0,0.0,-0.031361038961039006,-0.001336363636363573,0.0
2058,Doctor,How came she by that light?,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.01898181818181818,0.0,0.0,4,0.0,0.013454312727272716,0,0,0.0,0.008338961038961,-0.001336363636363573,0.0
2061,Doctor,You see her eyes are open.,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.06654545454545455,0.0,0.0,5,0.0,0.025921425454545444,0,0,0.18181818181818182,0.021045454545454506,0.06654545454545455,0.0
2063,Doctor,What is it she does now? Look how she rubs,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.06654545454545455,0.0,0.0,6,0.0,0.025921425454545444,0,0,0.18181818181818182,0.07436450216450213,0.06654545454545455,0.0
2064,Doctor,her hands.,5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.06654545454545455,0.09176,0.20518159761538082,6,0.0,0.025921425454545444,0,0,0.18181818181818182,0.09788354978354974,0.06654545454545455,0.0
2069,Doctor,"Hark, she speaks. I will set down what comes",5,1,21,"Act 5, Scene 1",0.0,1.0,0.0,0.0,neu,0.06654545454545455,0.1464,0.2109329751366534,7,0.0,0.025921425454545444,0,0,0.18181818181818182,0.10852640692640689,0.14669090909090915,0.0
2070,Doctor,"from her, to satisfy my remembrance the more",5,1,21,"Act 5, Scene 1",0.0,0.7,0.3,0.4588,pos,0.12836363636363635,0.1464,0.2109329751366534,7,0.21049743999999998,0.06795778909090909,1,0,0.2727272727272727,0.16002077922077917,0.20850909090909098,0.2294
