line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
837,Donalbain,What is amiss?,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.03555,0.03423333333333333,0.05929387264577457,0,0.0,0.038721718333333335,0,0,-0.16666666666666666,0.15993095238095234,0.17430454545454546,0.0
867,Donalbain,"What should be spoken here, where our fate,",2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.03047142857142857,0.08225,0.10754647057590191,1,0.0,0.03319004428571429,0,0,-0.14285714285714285,0.04966666666666663,0.06600779220779224,0.0
868,Donalbain,"Hid in an auger hole, may rush and seize us?",2,3,10,"Act 2, Scene 3",0.135,0.865,0.0,-0.1027,neg,0.07935,0.0658,0.10013837925590768,1,-0.010547289999999999,0.05124907,0,1,0.0,0.09489285714285711,0.20576818181818185,-0.05135
869,Donalbain,Let’s away. Our tears are not yet brewed.,2,3,10,"Act 2, Scene 3",0.213,0.787,0.0,-0.2263,neg,0.1235,0.17426,0.2944269400037979,1,-0.05121169,0.07080393888888889,0,1,0.1111111111111111,0.1390428571428571,0.2947090909090909,-0.10966666666666668
880,Donalbain,So all.,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.06711,0.17426,0.2944269400037979,2,0.0,0.044328329,0,0,0.0,0.09545761904761901,0.10119181818181822,0.0
883,Donalbain,Well contented.,2,3,10,"Act 2, Scene 3",0.0,0.0,1.0,0.5423,pos,0.06711,0.23801999999999998,0.3217848582515964,3,0.29408929,0.044328329,1,0,0.0,0.11676238095238092,0.016600909090909124,0.5423
887,Donalbain,To Ireland I. Our separated fortune,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.07456666666666667,0.2881,0.26645186244423213,4,0.0,0.04925369888888889,0,0,0.0,0.10830476190476188,0.012857575757575797,0.0
888,Donalbain,"Shall keep us both the safer. Where we are,",2,3,10,"Act 2, Scene 3",0.0,0.741,0.259,0.4215,pos,0.0838875,0.37618,0.4162050540298616,4,0.17766225,0.05541041125,1,0,0.0,0.09944464285714283,0.04908750000000004,0.21075
889,Donalbain,"There’s daggers in men’s smiles. The near in blood,",2,3,10,"Act 2, Scene 3",0.0,0.721,0.279,0.4767,pos,0.11054285714285715,0.33465,0.426795067919019,4,0.22724289,0.06483293999999999,1,0,0.14285714285714285,0.13128571428571426,0.12504285714285718,0.2994
890,Donalbain,The nearer bloody.,2,3,10,"Act 2, Scene 3",0.592,0.408,0.0,-0.4404,neg,0.16668333333333332,0.4462,0.5142941862397435,4,-0.19395216,0.08417371166666666,0,1,0.33333333333333337,0.18742619047619044,0.18118333333333336,0.15259999999999999
