line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
332,Lady Macbeth,They met me in the,1,5,5,"Act 1, Scene 5",0.0,1.0,0.0,0.0,neu,0.1623,0.19063333333333332,0.33018661894954693,0,0.0,0.08143220333333333,0,0,0.3333333333333333,0.019214285714285684,-0.05585454545454546,0.0
333,Lady Macbeth,"day of success, and I have learned by the perfect’st",1,5,5,"Act 1, Scene 5",0.0,0.709,0.291,0.5719,pos,0.13911428571428572,0.24345,0.28955230385314956,0,0.32706960999999996,0.06979903142857143,1,0,0.2857142857142857,-0.0328761904761905,-0.01624025974025972,0.28595
334,Lady Macbeth,report they have more in them than mortal knowledge.,1,5,5,"Act 1, Scene 5",0.0,1.0,0.0,0.0,neu,0.121725,0.19476,0.2733751689528513,0,0.0,0.06107415249999999,0,0,0.25,-0.09328928571428574,-0.03362954545454544,0.19063333333333332
335,Lady Macbeth,"When I burned in desire to question them further, they",1,5,5,"Act 1, Scene 5",0.0,0.769,0.231,0.4019,pos,0.11677777777777777,0.19476,0.2733751689528513,0,0.16152360999999998,0.05495033999999999,1,0,0.3333333333333333,-0.12856507936507938,-0.04559494949494948,0.3246
336,Lady Macbeth,"made themselves air, into which they vanished.",1,5,5,"Act 1, Scene 5",0.0,1.0,0.0,0.0,neu,0.14914,0.08038,0.1797351440314331,0,0.0,0.068850522,0,0,0.4,-0.07268380952380957,0.013558181818181803,0.13396666666666665
337,Lady Macbeth,Whiles I stood rapt in the wonder of it came missives,1,5,5,"Act 1, Scene 5",0.0,1.0,0.0,0.0,neu,0.18625454545454545,0.08038,0.1797351440314331,0,0.0,0.09083636181818182,0,0,0.45454545454545453,-0.04716926406926408,0.0,0.13396666666666665
338,Lady Macbeth,"from the King, who all-hailed me Thane of Cawdor,",1,5,5,"Act 1, Scene 5",0.0,1.0,0.0,0.0,neu,0.24143636363636364,0.01544,0.03452488957259675,0,0.0,0.12433172545454546,0,0,0.5454545454545454,0.019060173160173166,0.0,0.0
339,Lady Macbeth,"by which title, before, these Weïrd Sisters saluted me",1,5,5,"Act 1, Scene 5",0.0,1.0,0.0,0.0,neu,0.2222818181818182,0.10352000000000001,0.19126555361590858,0,0.0,0.1064586190909091,0,0,0.5454545454545454,-0.029851515151515184,0.0,0.0
340,Lady Macbeth,"and referred me to the coming on of time with Hail,",1,5,5,"Act 1, Scene 5",0.0,0.885,0.115,0.0772,pos,0.28018181818181814,0.215,0.2643301723224195,0,0.005959840000000001,0.1433351290909091,1,0,0.6363636363636364,0.028048484848484767,0.0,0.025733333333333334
341,Lady Macbeth,king that shalt be. This have I thought good to deliver,1,5,5,"Act 1, Scene 5",0.0,0.775,0.225,0.4404,pos,0.24364545454545458,0.3364,0.27983520150259866,0,0.19395216,0.12865116454545455,1,0,0.5454545454545454,0.04565497835497839,0.0,0.17253333333333334
