line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
1656,Lady Macduff,What had he done to make him fly the land?,4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,-0.06718333333333333,0.1468,0.2542650585511112,0,0.0,-0.02685282833333334,0,0,-0.16666666666666666,-0.04254523809523812,0.1340621212121213,0.0
1658,Lady Macduff,He had none.,4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,0.024114285714285706,0.215475,0.24892870967407515,1,0.0,0.02370751999999999,0,0,0.0,0.09045238095238092,0.07035064935064941,0.0
1659,Lady Macduff,"His flight was madness. When our actions do not,",4,2,19,"Act 4, Scene 2",0.266,0.734,0.0,-0.4404,neg,0.001962499999999992,0.26414,0.3706797566633495,1,-0.19395216,0.01781412874999999,0,1,-0.125,0.10461964285714281,0.07712613636363641,-0.2202
1660,Lady Macduff,Our fears do make us traitors.,4,2,19,"Act 4, Scene 2",0.359,0.641,0.0,-0.4215,neg,-0.040677777777777785,0.26414,0.3706797566633495,1,-0.17766225,-0.00036202333333333766,0,1,-0.2222222222222222,0.05198888888888886,-0.06071414141414136,-0.2873
1663,Lady Macduff,"Wisdom? To leave his wife, to leave his babes,",4,2,19,"Act 4, Scene 2",0.203,0.508,0.288,0.4588,pos,-0.036610000000000004,0.37851999999999997,0.4752585538420113,2,0.21049743999999998,-0.0003258210000000039,1,0,-0.2,-0.03525761904761908,-0.008019090909090847,0.4588
1664,Lady Macduff,His mansion and his titles in a place,4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,-0.10261818181818182,0.32106,0.41745163432426513,2,0.0,-0.053179045454545465,0,0,-0.2727272727272727,-0.12818008658008662,-0.0046909090909090095,0.2294
1665,Lady Macduff,From whence himself does fly? He loves us not;,4,2,19,"Act 4, Scene 2",0.0,0.684,0.316,0.5719,pos,-0.058709090909090926,0.31312,0.40546712937055696,2,0.32706960999999996,-0.03197095454545456,1,0,-0.18181818181818182,-0.10690432900432906,-0.04472727272727268,0.34356666666666663
1666,Lady Macduff,"He wants the natural touch; for the poor wren,",4,2,19,"Act 4, Scene 2",0.246,0.556,0.198,-0.1531,neg,-0.058709090909090926,0.22136,0.35213870136637915,2,-0.023439610000000003,-0.03197095454545456,0,1,-0.18181818181818182,-0.10690432900432906,-0.08304545454545449,0.13959999999999997
1667,Lady Macduff,"The most diminutive of birds, will fight,",4,2,19,"Act 4, Scene 2",0.302,0.698,0.0,-0.3818,neg,-0.018672727272727285,0.3739,0.4931185587665506,2,-0.14577123999999997,-0.014338940000000012,0,1,-0.09090909090909094,-0.03186320346320351,-0.09368181818181813,0.012333333333333326
1668,Lady Macduff,"Her young ones in her nest, against the owl.",4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,-0.03931818181818183,0.35612000000000005,0.4613828421170427,2,0.0,-0.03643164090909092,0,0,-0.09090909090909094,-0.052508658008658046,-0.12468181818181812,-0.1783
