line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
1450,Lord,The son of Duncan,3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.1497,0.0,0.0,0,0.0,0.06748419,0,0,0.3333333333333333,0.0748142857142857,0.09612727272727278,0.0
1451,Lord,(From whom this tyrant holds the due of birth),3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.17377142857142855,0.105375,0.21075,0,0.0,0.07230805428571428,0,0,0.42857142857142855,0.10700476190476187,0.15450779220779223,0.0
1452,Lord,Lives in the English court and is received,3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.15205,0.0843,0.18850053050323226,0,0.0,0.0632695475,0,0,0.375,0.04437380952380948,0.08636818181818186,0.0
1453,Lord,Of the most pious Edward with such grace,3,6,17,"Act 3, Scene 6",0.0,0.714,0.286,0.4215,pos,0.17981111111111112,0.17964,0.2467551883953,0,0.17766225,0.07418666555555556,1,0,0.4444444444444444,0.10455396825396823,0.07759292929292935,0.14049999999999999
1454,Lord,That the malevolence of fortune nothing,3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.16183,0.24328,0.2292545463017037,0,0.0,0.066767999,0,0,0.4,0.08657285714285712,0.014711818181818243,0.14049999999999999
1455,Lord,Takes from his high respect. Thither Macduff,3,6,17,"Act 3, Scene 6",0.0,0.659,0.341,0.4767,pos,0.14711818181818181,0.24328,0.2292545463017037,0,0.22724289,0.06069818090909091,1,0,0.36363636363636365,0.06750865800865799,5.551115123125783e-17,0.2994
1456,Lord,Is gone to pray the holy king upon his aid,3,6,17,"Act 3, Scene 6",0.0,0.796,0.204,0.3182,pos,0.15645454545454543,0.23936000000000002,0.2255835166850628,0,0.10125123999999999,0.061657025454545454,1,0,0.45454545454545453,0.10996883116883113,2.7755575615628914e-17,0.26496666666666663
1457,Lord,To wake Northumberland and warlike Siward,3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.23455454545454543,0.23936000000000002,0.2255835166850628,0,0.0,0.12875273545454544,0,0,0.5454545454545454,0.1637545454545454,2.7755575615628914e-17,0.26496666666666663
1458,Lord,"That, by the help of these (with Him above",3,6,17,"Act 3, Scene 6",0.0,0.748,0.252,0.4019,pos,0.23455454545454543,0.14401999999999998,0.1994154256821673,0,0.16152360999999998,0.12875273545454544,1,0,0.5454545454545454,0.1637545454545454,2.7755575615628914e-17,0.24003333333333332
1459,Lord,"To ratify the work), we may again",3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.19623636363636363,0.10091999999999998,0.17403064959943115,0,0.0,0.1126016218181818,0,0,0.45454545454545453,0.10191731601731598,5.551115123125783e-17,0.13396666666666665
1460,Lord,"Give to our tables meat, sleep to our nights,",3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.14174545454545454,0.27274,0.3668065471062369,0,0.0,0.0799397709090909,0,0,0.36363636363636365,0.047426406926406886,5.551115123125783e-17,0.13396666666666665
1461,Lord,"Free from our feasts and banquets bloody knives,",3,6,17,"Act 3, Scene 6",0.238,0.492,0.27,0.1027,pos,0.0984090909090909,0.19236,0.3753625753854531,0,0.010547289999999999,0.05928132636363636,1,0,0.2727272727272727,-0.008919480519480563,6.938893903907228e-17,0.03423333333333333
1462,Lord,"Do faithful homage, and receive free honors,",3,6,17,"Act 3, Scene 6",0.0,0.296,0.704,0.8591,pos,0.06948181818181819,0.19236,0.3753625753854531,0,0.73805281,0.050076668181818176,1,0,0.1818181818181818,-0.03784675324675328,6.938893903907228e-17,0.3206
1463,Lord,All which we pine for now. And this report,3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.06948181818181819,0.31223999999999996,0.520003295181867,0,0.0,0.050076668181818176,0,0,0.1818181818181818,-0.06292770562770565,6.938893903907228e-17,0.3206
1464,Lord,Hath so exasperate the King that he,3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.03294545454545454,0.29169999999999996,0.5205392281086988,0,0.0,0.035392703636363626,0,0,0.09090909090909091,-0.07939264069264072,6.245004513516506e-17,0.28636666666666666
1465,Lord,Prepares for some attempt of war.,3,6,17,"Act 3, Scene 6",0.438,0.562,0.0,-0.5994,neg,0.03294545454545454,0.11988000000000001,0.26805982914267473,0,-0.3592803600000001,0.035392703636363626,0,1,0.09090909090909091,-0.1085545454545455,6.245004513516506e-17,-0.1998
1467,Lord,"He did, and with an absolute Sir, not I,",3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.036239999999999994,0.11988000000000001,0.26805982914267473,1,0.0,0.038931973999999994,0,0,0.1,-0.06822666666666669,-0.012205454545454485,0.0
1468,Lord,The cloudy messenger turns me his back,3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,0.028855555555555547,0.11988000000000001,0.26805982914267473,1,0.0,0.04208582777777777,0,0,0.0,-0.07561111111111113,0.01062828282828289,0.0
1469,Lord,"And hums, as who should say You’ll rue the time",3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,-0.074925,0.0,0.0,1,0.0,-0.04491004500000001,0,0,-0.125,-0.16025357142857144,-0.09315227272727267,0.0
1470,Lord,That clogs me with this answer.,3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,-0.08562857142857143,0.0,0.0,1,0.0,-0.05132576571428572,0,0,-0.14285714285714285,-0.16018095238095242,-0.15952857142857135,0.0
1478,Lord,I’ll send my prayers with him.,3,6,17,"Act 3, Scene 6",0.0,1.0,0.0,0.0,neu,-0.0999,0.0,0.0,2,0.0,-0.05988006000000001,0,0,-0.16666666666666666,-0.09275714285714289,-0.09796363636363631,0.0
