line_number,text,act,scene,scene_id,act_scene,play_neg,play_neu,play_pos,play_compound,play_vader_label,play_rolling_compound_wide,play_rolling_compound_narrow
1,When shall we three meet again?,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.03090909090909091,0.05666666666666667
2,"In thunder, lightning, or in rain?",1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.07478333333333333,0.04857142857142858
3,"When the hurly-burly’s done,",1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.06903076923076924,0.0425
4,When the battle’s lost and won.,1,1,1,"Act 1, Scene 1",0.23,0.4,0.37,0.34,pos,0.03264285714285715,0.03777777777777778
5,That will be ere the set of sun.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.030466666666666673,0.034
6,Where the place?,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.028562500000000005,0.03090909090909091
7,Upon the heath.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.026882352941176475,0.08158181818181819
8,There to meet with Macbeth.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.06429444444444446,0.08158181818181819
9,"I come, Graymalkin.",1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.10217368421052632,0.04154545454545455
10,Paddock calls.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.097065,0.01063636363636364
11,Anon.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.0899857142857143,0.01063636363636364
12,"Fair is foul, and foul is fair;",1,1,1,"Act 1, Scene 1",0.0,0.521,0.479,0.5574,pos,0.0737952380952381,0.01063636363636364
13,Hover through the fog and filthy air.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.0737952380952381,0.07430000000000002
14,"What bloody man is that? He can report,",1,2,2,"Act 1, Scene 2",0.293,0.707,0.0,-0.4404,neg,0.047971428571428575,0.1455727272727273
15,"As seemeth by his plight, of the revolt",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.046933333333333334,0.1455727272727273
16,The newest state.,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.02261904761904761,0.1408818181818182
17,This is the sergeant,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.022619047619047615,0.10997272727272728
18,"Who, like a good and hardy soldier, fought",1,2,2,"Act 1, Scene 2",0.16,0.278,0.562,0.7003,pos,0.022619047619047615,0.05930000000000001
19,"’Gainst my captivity.—Hail, brave friend!",1,2,2,"Act 1, Scene 2",0.0,0.303,0.697,0.784,pos,0.04446666666666667,0.010000000000000009
20,Say to the King the knowledge of the broil,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.01134285714285714,0.07896363636363636
21,As thou didst leave it.,1,2,2,"Act 1, Scene 2",0.231,0.769,0.0,-0.0516,neg,0.04327142857142857,0.03254545454545455
22,"Doubtful it stood,",1,2,2,"Act 1, Scene 2",0.545,0.455,0.0,-0.34,neg,0.04327142857142857,0.03254545454545455
23,As two spent swimmers that do cling together,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.004242857142857146,0.03254545454545455
24,And choke their art. The merciless Macdonwald,1,2,2,"Act 1, Scene 2",0.368,0.632,0.0,-0.5423,neg,0.012957142857142855,0.010590909090909095
25,"(Worthy to be a rebel, for to that",1,2,2,"Act 1, Scene 2",0.152,0.571,0.276,0.3182,pos,0.033928571428571426,-0.12391818181818182
26,The multiplying villainies of nature,1,2,2,"Act 1, Scene 2",0.452,0.548,0.0,-0.5106,neg,0.029038095238095234,-0.06296363636363636
27,Do swarm upon him) from the Western Isles,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.029038095238095234,-0.058272727272727275
28,Of kerns and gallowglasses is supplied;,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.024147619047619043,-0.0674
29,"And Fortune, on his damnèd quarrel smiling,",1,2,2,"Act 1, Scene 2",0.0,0.667,0.333,0.4588,pos,0.014257142857142857,-0.03456363636363636
30,Showed like a rebel’s whore. But all’s too weak;,1,2,2,"Act 1, Scene 2",0.456,0.421,0.123,-0.6956,neg,-0.02307619047619048,0.014736363636363638
31,"For brave Macbeth (well he deserves that name),",1,2,2,"Act 1, Scene 2",0.0,0.522,0.478,0.6705,pos,-0.05283333333333334,-0.023527272727272727
32,"Disdaining Fortune, with his brandished steel,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.03317619047619047,0.022890909090909097
33,"Which smoked with bloody execution,",1,2,2,"Act 1, Scene 2",0.42,0.58,0.0,-0.4404,neg,-0.016985714285714288,0.013554545454545463
34,"Like Valor’s minion, carved out his passage",1,2,2,"Act 1, Scene 2",0.0,0.706,0.294,0.3612,pos,-0.03705714285714286,0.05833636363636364
35,Till he faced the slave;,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.040247619047619046,0.016627272727272737
36,"Which ne’er shook hands, nor bade farewell to him,",1,2,2,"Act 1, Scene 2",0.149,0.851,0.0,-0.1027,neg,-0.029576190476190475,0.02305454545454546
37,"Till he unseamed him from the nave to th’ chops,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.005261904761904753,-0.005063636363636356
38,And fixed his head upon our battlements.,1,2,2,"Act 1, Scene 2",0.189,0.811,0.0,-0.1027,neg,-0.005261904761904753,-0.005063636363636356
39,"O valiant cousin, worthy gentleman!",1,2,2,"Act 1, Scene 2",0.0,0.556,0.444,0.4926,pos,-0.022461904761904756,-0.003345454545454535
40,As whence the sun ’gins his reflection,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.06528095238095237,-0.09157272727272726
41,"Shipwracking storms and direful thunders break,",1,2,2,"Act 1, Scene 2",0.451,0.549,0.0,-0.6249,neg,-0.03215714285714285,-0.04227272727272726
42,So from that spring whence comfort seemed to,1,2,2,"Act 1, Scene 2",0.0,0.737,0.263,0.3612,pos,-0.04494761904761905,-0.032936363636363625
43,come,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.04494761904761905,-0.032936363636363625
44,"Discomfort swells. Mark, King of Scotland, mark:",1,2,2,"Act 1, Scene 2",0.318,0.682,0.0,-0.4215,neg,-0.023976190476190467,-0.05643636363636362
45,"No sooner justice had, with valor armed,",1,2,2,"Act 1, Scene 2",0.499,0.501,0.0,-0.6093,neg,-0.06214761904761904,-0.14125454545454547
46,"Compelled these skipping kerns to trust their heels,",1,2,2,"Act 1, Scene 2",0.0,0.571,0.429,0.5423,pos,-0.08399523809523808,-0.14125454545454544
47,"But the Norweyan lord, surveying vantage,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.0791047619047619,-0.0479090909090909
48,"With furbished arms and new supplies of men,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.0791047619047619,-0.08074545454545454
49,Began a fresh assault.,1,2,2,"Act 1, Scene 2",0.469,0.247,0.284,-0.3612,neg,-0.0815047619047619,-0.08074545454545454
50,"Dismayed not this our captains, Macbeth and",1,2,2,"Act 1, Scene 2",0.326,0.674,0.0,-0.4404,neg,-0.08884761904761904,-0.08246363636363636
51,Banquo?,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.06532857142857142,-0.06878181818181818
52,"Yes, as sparrows eagles, or the hare the lion.",1,2,2,"Act 1, Scene 2",0.0,0.748,0.252,0.4019,pos,-0.035571428571428566,-0.11808181818181818
53,"If I say sooth, I must report they were",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.031799999999999995,-0.11808181818181818
54,"As cannons overcharged with double cracks,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.031799999999999995,-0.132
55,So they doubly redoubled strokes upon the foe.,1,2,2,"Act 1, Scene 2",0.293,0.707,0.0,-0.4404,neg,-0.011728571428571425,-0.0684
56,Except they meant to bathe in reeking wounds,1,2,2,"Act 1, Scene 2",0.3,0.7,0.0,-0.4588,neg,0.007652380952380954,0.016536363636363637
57,"Or memorize another Golgotha,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.012714285714285714,0.016536363636363637
58,I cannot tell—,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.033685714285714284,0.02003636363636364
59,But I am faint. My gashes cry for help.,1,2,2,"Act 1, Scene 2",0.282,0.476,0.241,-0.1531,neg,0.06344285714285715,0.02003636363636364
60,So well thy words become thee as thy wounds:,1,2,2,"Act 1, Scene 2",0.0,0.77,0.23,0.3384,pos,0.08064285714285714,0.02003636363636364
61,"They smack of honor both.—Go, get him surgeons.",1,2,2,"Act 1, Scene 2",0.0,0.686,0.314,0.4939,pos,0.11676666666666667,0.04168181818181818
62,Who comes here?,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.09406666666666667,0.14235454545454546
63,The worthy Thane of Ross.,1,2,2,"Act 1, Scene 2",0.0,0.58,0.42,0.4404,pos,0.07492857142857143,0.18239090909090908
