line_idx,text,,,,
1,When shall we three meet again?,,,,
2,"In thunder, lightning, or in rain?",,,,
3,"When the hurly-burly’s done,",,,,
4,When the battle’s lost and won.,,,,
5,That will be ere the set of sun.,,,,
6,Where the place?,,,,
7,Upon the heath.,,,,
8,There to meet with Macbeth.,,,,
9,"I come, Graymalkin.",,,,
10,Paddock calls.,,,,
11,Anon.,,,,
12,"Fair is foul, and foul is fair;",,,,
13,Hover through the fog and filthy air.,,,,
14,"What bloody man is that? He can report,",,,,
15,"As seemeth by his plight, of the revolt",,,,
16,The newest state.,,,,
17,This is the sergeant,,,,
18,"Who, like a good and hardy soldier, fought",,,,
19,"’Gainst my captivity.—Hail, brave friend!",,,,
20,Say to the King the knowledge of the broil,,,,
21,As thou didst leave it.,,,,
22,"Doubtful it stood,",,,,
23,As two spent swimmers that do cling together,,,,
24,And choke their art. The merciless Macdonwald,,,,
25,"(Worthy to be a rebel, for to that",,,,
26,The multiplying villainies of nature,,,,
27,Do swarm upon him) from the Western Isles,,,,
28,Of kerns and gallowglasses is supplied;,,,,
29,"And Fortune, on his damnèd quarrel smiling,",,,,
30,Showed like a rebel’s whore. But all’s too weak;,,,,
31,"For brave Macbeth (well he deserves that name),",,,,
32,"Disdaining Fortune, with his brandished steel,",,,,
33,"Which smoked with bloody execution,",,,,
34,"Like Valor’s minion, carved out his passage",,,,
35,Till he faced the slave;,,,,
36,"Which ne’er shook hands, nor bade farewell to him,",,,,
37,"Till he unseamed him from the nave to th’ chops,",,,,
38,And fixed his head upon our battlements.,,,,
39,"O valiant cousin, worthy gentleman!",,,,
40,As whence the sun ’gins his reflection,,,,
41,"Shipwracking storms and direful thunders break,",,,,
42,So from that spring whence comfort seemed to,,,,
43,come,,,,
44,"Discomfort swells. Mark, King of Scotland, mark:",,,,
45,"No sooner justice had, with valor armed,",,,,
46,"Compelled these skipping kerns to trust their heels,",,,,
47,"But the Norweyan lord, surveying vantage,",,,,
48,"With furbished arms and new supplies of men,",,,,
49,Began a fresh assault.,,,,
50,"Dismayed not this our captains, Macbeth and",,,,
51,Banquo?,,,,
52,"Yes, as sparrows eagles, or the hare the lion.",,,,
53,"If I say sooth, I must report they were",,,,
54,"As cannons overcharged with double cracks,",,,,
55,So they doubly redoubled strokes upon the foe.,,,,
56,Except they meant to bathe in reeking wounds,,,,
57,"Or memorize another Golgotha,",,,,
58,I cannot tell—,,,,
59,But I am faint. My gashes cry for help.,,,,
60,So well thy words become thee as thy wounds:,,,,
61,"They smack of honor both.—Go, get him surgeons.",,,,
62,Who comes here?,,,,
63,The worthy Thane of Ross.,,,,
64,What a haste looks through his eyes!,,,,
65,So should he look that seems to speak things,,,,
66,strange.,,,,
67,God save the King.,,,,
68,"Whence cam’st thou, worthy thane?",,,,
69,"From Fife, great king,",,,,
70,Where the Norweyan banners flout the sky,,,,
71,And fan our people cold.,,,,
72,"Norway himself, with terrible numbers,",,,,
73,"Assisted by that most disloyal traitor,",,,,
74,"The Thane of Cawdor, began a dismal conflict,",,,,
75,"Till that Bellona’s bridegroom, lapped in proof,",,,,
76,"Confronted him with self-comparisons,",,,,
77,"Point against point, rebellious arm ’gainst arm,",,,,
78,"Curbing his lavish spirit. And to conclude,",,,,
79,The victory fell on us.,,,,
80,Great happiness!,,,,
81,"That now Sweno,",,,,
82,"The Norways’ king, craves composition.",,,,
83,Nor would we deign him burial of his men,,,,
84,Till he disbursèd at Saint Colme’s Inch,,,,
85,Ten thousand dollars to our general use.,,,,
86,No more that Thane of Cawdor shall deceive,,,,
87,"Our bosom interest. Go, pronounce his present",,,,
88,"death,",,,,
89,And with his former title greet Macbeth.,,,,
90,I’ll see it done.,,,,
91,"What he hath lost, noble Macbeth hath won.",,,,
92,"Where hast thou been, sister?",,,,
93,Killing swine.,,,,
94,"Sister, where thou?",,,,
95,A sailor’s wife had chestnuts in her lap,,,,
96,And munched and munched and munched. Give,,,,
97,"me, quoth I.",,,,
98,"Aroint thee, witch, the rump-fed runnion cries.",,,,
99,"Her husband’s to Aleppo gone, master o’ th’ Tiger;",,,,
100,"But in a sieve I’ll thither sail,",,,,
101,"And, like a rat without a tail,",,,,
102,"I’ll do, I’ll do, and I’ll do.",,,,
103,I’ll give thee a wind.,,,,
104,Th’ art kind.,,,,
105,And I another.,,,,
106,"I myself have all the other,",,,,
107,And the very ports they blow;,,,,
108,All the quarters that they know,,,,
109,I’ th’ shipman’s card.,,,,
110,I’ll drain him dry as hay.,,,,
111,Sleep shall neither night nor day,,,,
112,Hang upon his penthouse lid.,,,,
113,He shall live a man forbid.,,,,
114,"Weary sev’nnights, nine times nine,",,,,
115,"Shall he dwindle, peak, and pine.",,,,
116,"Though his bark cannot be lost,",,,,
117,Yet it shall be tempest-tossed.,,,,
118,Look what I have.,,,,
119,"Show me, show me.",,,,
120,"Here I have a pilot’s thumb,",,,,
121,Wracked as homeward he did come.,,,,
122,"A drum, a drum!",,,,
123,Macbeth doth come.,,,,
124,"The Weïrd Sisters, hand in hand,",,,,
125,"Posters of the sea and land,",,,,
126,"Thus do go about, about,",,,,
127,Thrice to thine and thrice to mine,,,,
128,"And thrice again, to make up nine.",,,,
129,"Peace, the charm’s wound up.",,,,
130,So foul and fair a day I have not seen.,,,,
131,"How far is ’t called to Forres?—What are these,",,,,
132,"So withered, and so wild in their attire,",,,,
133,That look not like th’ inhabitants o’ th’ Earth,,,,
134,And yet are on ’t?—Live you? Or are you aught,,,,
135,That man may question? You seem to understand,,,,
136,me,,,,
137,By each at once her choppy finger laying,,,,
138,"Upon her skinny lips. You should be women,",,,,
139,And yet your beards forbid me to interpret,,,,
140,That you are so.,,,,
141,Speak if you can. What are you?,,,,
142,"All hail, Macbeth! Hail to thee, Thane of Glamis!",,,,
143,"All hail, Macbeth! Hail to thee, Thane of Cawdor!",,,,
144,"All hail, Macbeth, that shalt be king hereafter!",,,,
145,"Good sir, why do you start and seem to fear",,,,
146,"Things that do sound so fair?—I’ th’ name of truth,",,,,
147,"Are you fantastical, or that indeed",,,,
148,Which outwardly you show? My noble partner,,,,
149,You greet with present grace and great prediction,,,,
150,"Of noble having and of royal hope,",,,,
151,That he seems rapt withal. To me you speak not.,,,,
152,If you can look into the seeds of time,,,,
153,"And say which grain will grow and which will not,",,,,
154,"Speak, then, to me, who neither beg nor fear",,,,
155,Your favors nor your hate.,,,,
156,Hail!,,,,
157,Hail!,,,,
158,Hail!,,,,
159,Lesser than Macbeth and greater.,,,,
160,"Not so happy, yet much happier.",,,,
161,"Thou shalt get kings, though thou be none.",,,,
162,"So all hail, Macbeth and Banquo!",,,,
163,"Banquo and Macbeth, all hail!",,,,
164,"Stay, you imperfect speakers. Tell me more.",,,,
165,By Sinel’s death I know I am Thane of Glamis.,,,,
166,But how of Cawdor? The Thane of Cawdor lives,,,,
167,"A prosperous gentleman, and to be king",,,,
168,"Stands not within the prospect of belief,",,,,
169,No more than to be Cawdor. Say from whence,,,,
170,You owe this strange intelligence or why,,,,
171,Upon this blasted heath you stop our way,,,,
172,"With such prophetic greeting. Speak, I charge you.",,,,
