speaker,act,scene,line_number,text
First Witch,1,1,1,When shall we three meet again?
First Witch,1,1,2,"In thunder, lightning, or in rain?"
Second Witch,1,1,3,"When the hurly-burly’s done,"
Second Witch,1,1,4,When the battle’s lost and won.
Third Witch,1,1,5,That will be ere the set of sun.
First Witch,1,1,6,Where the place?
Second Witch,1,1,7,Upon the heath.
Third Witch,1,1,8,There to meet with Macbeth.
First Witch,1,1,9,"I come, Graymalkin."
Second Witch,1,1,10,Paddock calls.
Third Witch,1,1,11,Anon.
Second Witch,1,1,12,"Fair is foul, and foul is fair;"
First Witch,1,1,13,Hover through the fog and filthy air.
Duncan,1,2,14,"What bloody man is that? He can report,"
Duncan,1,2,15,"As seemeth by his plight, of the revolt"
Duncan,1,2,16,The newest state.
Malcolm,1,2,17,This is the sergeant
Malcolm,1,2,18,"Who, like a good and hardy soldier, fought"
Malcolm,1,2,19,"’Gainst my captivity.—Hail, brave friend!"
Malcolm,1,2,20,Say to the King the knowledge of the broil
Malcolm,1,2,21,As thou didst leave it.
Captain,1,2,22,"Doubtful it stood,"
Captain,1,2,23,As two spent swimmers that do cling together
Captain,1,2,24,And choke their art. The merciless Macdonwald
Captain,1,2,25,"(Worthy to be a rebel, for to that"
Captain,1,2,26,The multiplying villainies of nature
Captain,1,2,27,Do swarm upon him) from the Western Isles
Captain,1,2,28,Of kerns and gallowglasses is supplied;
Captain,1,2,29,"And Fortune, on his damnèd quarrel smiling,"
Captain,1,2,30,Showed like a rebel’s whore. But all’s too weak;
Captain,1,2,31,"For brave Macbeth (well he deserves that name),"
Captain,1,2,32,"Disdaining Fortune, with his brandished steel,"
Captain,1,2,33,"Which smoked with bloody execution,"
Captain,1,2,34,"Like Valor’s minion, carved out his passage"
Captain,1,2,35,Till he faced the slave;
Captain,1,2,36,"Which ne’er shook hands, nor bade farewell to him,"
Captain,1,2,37,"Till he unseamed him from the nave to th’ chops,"
Captain,1,2,38,And fixed his head upon our battlements.
Duncan,1,2,39,"O valiant cousin, worthy gentleman!"
Captain,1,2,40,As whence the sun ’gins his reflection
Captain,1,2,41,"Shipwracking storms and direful thunders break,"
Captain,1,2,42,So from that spring whence comfort seemed to
Captain,1,2,43,come
Captain,1,2,44,"Discomfort swells. Mark, King of Scotland, mark:"
Captain,1,2,45,"No sooner justice had, with valor armed,"
Captain,1,2,46,"Compelled these skipping kerns to trust their heels,"
Captain,1,2,47,"But the Norweyan lord, surveying vantage,"
Captain,1,2,48,"With furbished arms and new supplies of men,"
Captain,1,2,49,Began a fresh assault.
Duncan,1,2,50,"Dismayed not this our captains, Macbeth and"
Duncan,1,2,51,Banquo?
Captain,1,2,52,"Yes, as sparrows eagles, or the hare the lion."
Captain,1,2,53,"If I say sooth, I must report they were"
Captain,1,2,54,"As cannons overcharged with double cracks,"
Captain,1,2,55,So they doubly redoubled strokes upon the foe.
Captain,1,2,56,Except they meant to bathe in reeking wounds
Captain,1,2,57,"Or memorize another Golgotha,"
Captain,1,2,58,I cannot tell—
Captain,1,2,59,But I am faint. My gashes cry for help.
Duncan,1,2,60,So well thy words become thee as thy wounds:
Duncan,1,2,61,"They smack of honor both.—Go, get him surgeons."
Duncan,1,2,62,Who comes here?
Malcolm,1,2,63,The worthy Thane of Ross.
Lennox,1,2,64,What a haste looks through his eyes!
Lennox,1,2,65,So should he look that seems to speak things
Lennox,1,2,66,strange.
Ross,1,2,67,God save the King.
Duncan,1,2,68,"Whence cam’st thou, worthy thane?"
Ross,1,2,69,"From Fife, great king,"
Ross,1,2,70,Where the Norweyan banners flout the sky
Ross,1,2,71,And fan our people cold.
Ross,1,2,72,"Norway himself, with terrible numbers,"
Ross,1,2,73,"Assisted by that most disloyal traitor,"
Ross,1,2,74,"The Thane of Cawdor, began a dismal conflict,"
Ross,1,2,75,"Till that Bellona’s bridegroom, lapped in proof,"
Ross,1,2,76,"Confronted him with self-comparisons,"
Ross,1,2,77,"Point against point, rebellious arm ’gainst arm,"
Ross,1,2,78,"Curbing his lavish spirit. And to conclude,"
Ross,1,2,79,The victory fell on us.
Duncan,1,2,80,Great happiness!
Ross,1,2,81,"That now Sweno,"
Ross,1,2,82,"The Norways’ king, craves composition."
Ross,1,2,83,Nor would we deign him burial of his men
Ross,1,2,84,Till he disbursèd at Saint Colme’s Inch
Ross,1,2,85,Ten thousand dollars to our general use.
Duncan,1,2,86,No more that Thane of Cawdor shall deceive
Duncan,1,2,87,"Our bosom interest. Go, pronounce his present"
Duncan,1,2,88,"death,"
Duncan,1,2,89,And with his former title greet Macbeth.
Ross,1,2,90,I’ll see it done.
Duncan,1,2,91,"What he hath lost, noble Macbeth hath won."
First Witch,1,3,92,"Where hast thou been, sister?"
Second Witch,1,3,93,Killing swine.
Third Witch,1,3,94,"Sister, where thou?"
First Witch,1,3,95,A sailor’s wife had chestnuts in her lap
First Witch,1,3,96,And munched and munched and munched. Give
First Witch,1,3,97,"me, quoth I."
First Witch,1,3,98,"Aroint thee, witch, the rump-fed runnion cries."
First Witch,1,3,99,"Her husband’s to Aleppo gone, master o’ th’ Tiger;"
First Witch,1,3,100,"But in a sieve I’ll thither sail,"
First Witch,1,3,101,"And, like a rat without a tail,"
First Witch,1,3,102,"I’ll do, I’ll do, and I’ll do."
Second Witch,1,3,103,I’ll give thee a wind.
First Witch,1,3,104,Th’ art kind.
Third Witch,1,3,105,And I another.
First Witch,1,3,106,"I myself have all the other,"
First Witch,1,3,107,And the very ports they blow;
First Witch,1,3,108,All the quarters that they know
First Witch,1,3,109,I’ th’ shipman’s card.
First Witch,1,3,110,I’ll drain him dry as hay.
First Witch,1,3,111,Sleep shall neither night nor day
First Witch,1,3,112,Hang upon his penthouse lid.
First Witch,1,3,113,He shall live a man forbid.
First Witch,1,3,114,"Weary sev’nnights, nine times nine,"
First Witch,1,3,115,"Shall he dwindle, peak, and pine."
First Witch,1,3,116,"Though his bark cannot be lost,"
First Witch,1,3,117,Yet it shall be tempest-tossed.
First Witch,1,3,118,Look what I have.
Second Witch,1,3,119,"Show me, show me."
First Witch,1,3,120,"Here I have a pilot’s thumb,"
First Witch,1,3,121,Wracked as homeward he did come.
Third Witch,1,3,122,"A drum, a drum!"
Third Witch,1,3,123,Macbeth doth come.
First Witch,1,3,124,"The Weïrd Sisters, hand in hand,"
Third Witch,1,3,125,"Posters of the sea and land,"
First Witch,1,3,126,"Thus do go about, about,"
Third Witch,1,3,127,Thrice to thine and thrice to mine
Second Witch,1,3,128,"And thrice again, to make up nine."
Third Witch,1,3,129,"Peace, the charm’s wound up."
Macbeth,1,3,130,So foul and fair a day I have not seen.
Banquo,1,3,131,"How far is ’t called to Forres?—What are these,"
Banquo,1,3,132,"So withered, and so wild in their attire,"
Banquo,1,3,133,That look not like th’ inhabitants o’ th’ Earth
Banquo,1,3,134,And yet are on ’t?—Live you? Or are you aught
Banquo,1,3,135,That man may question? You seem to understand
Banquo,1,3,136,me
Banquo,1,3,137,By each at once her choppy finger laying
Banquo,1,3,138,"Upon her skinny lips. You should be women,"
Banquo,1,3,139,And yet your beards forbid me to interpret
Banquo,1,3,140,That you are so.
Macbeth,1,3,141,Speak if you can. What are you?
First Witch,1,3,142,"All hail, Macbeth! Hail to thee, Thane of Glamis!"
Second Witch,1,3,143,"All hail, Macbeth! Hail to thee, Thane of Cawdor!"
Third Witch,1,3,144,"All hail, Macbeth, that shalt be king hereafter!"
Banquo,1,3,145,"Good sir, why do you start and seem to fear"
Banquo,1,3,146,"Things that do sound so fair?—I’ th’ name of truth,"
Banquo,1,3,147,"Are you fantastical, or that indeed"
Banquo,1,3,148,Which outwardly you show? My noble partner
Banquo,1,3,149,You greet with present grace and great prediction
Banquo,1,3,150,"Of noble having and of royal hope,"
Banquo,1,3,151,That he seems rapt withal. To me you speak not.
Banquo,1,3,152,If you can look into the seeds of time
Banquo,1,3,153,"And say which grain will grow and which will not,"
Banquo,1,3,154,"Speak, then, to me, who neither beg nor fear"
Banquo,1,3,155,Your favors nor your hate.
Second Witch,1,3,156,Hail!
First Witch,1,3,157,Hail!
Second Witch,1,3,158,Hail!
First Witch,1,3,159,Lesser than Macbeth and greater.
Second Witch,1,3,160,"Not so happy, yet much happier."
Third Witch,1,3,161,"Thou shalt get kings, though thou be none."
Third Witch,1,3,162,"So all hail, Macbeth and Banquo!"
First Witch,1,3,163,"Banquo and Macbeth, all hail!"
Macbeth,1,3,164,"Stay, you imperfect speakers. Tell me more."
Macbeth,1,3,165,By Sinel’s death I know I am Thane of Glamis.
Macbeth,1,3,166,But how of Cawdor? The Thane of Cawdor lives
Macbeth,1,3,167,"A prosperous gentleman, and to be king"
Macbeth,1,3,168,"Stands not within the prospect of belief,"
Macbeth,1,3,169,No more than to be Cawdor. Say from whence
Macbeth,1,3,170,You owe this strange intelligence or why
Macbeth,1,3,171,Upon this blasted heath you stop our way
Macbeth,1,3,172,"With such prophetic greeting. Speak, I charge you."
Banquo,1,3,173,"The earth hath bubbles, as the water has,"
Banquo,1,3,174,And these are of them. Whither are they vanished?
Macbeth,1,3,175,"Into the air, and what seemed corporal melted,"
Macbeth,1,3,176,As breath into the wind. Would they had stayed!
Banquo,1,3,177,Were such things here as we do speak about?
