line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
366,Messenger,The King comes here tonight.,1,5,5,"Act 1, Scene 5",0.0,1.0,0.0,0.0,neu,0.11176666666666668,0.21966666666666668,0.3804738273959634,0,0.0,0.07477402000000001,0,0,0.16666666666666666,0.1718333333333333,0.14605757575757577,0.0
370,Messenger,"So please you, it is true. Our thane is coming.",1,5,5,"Act 1, Scene 5",0.0,0.597,0.403,0.659,pos,0.20787142857142857,0.318075,0.5195818086050871,1,0.43428100000000003,0.15201205285714287,1,0,0.2857142857142857,0.25599523809523805,0.1918077922077922,0.659
371,Messenger,"One of my fellows had the speed of him,",1,5,5,"Act 1, Scene 5",0.0,1.0,0.0,0.0,neu,0.0931875,0.25446,0.4500000533333302,1,0.0,0.07006902625,0,0,0.125,0.16985416666666664,0.07712386363636364,0.3295
372,Messenger,"Who, almost dead for breath, had scarcely more",1,5,5,"Act 1, Scene 5",0.364,0.636,0.0,-0.6133,neg,0.08283333333333334,0.37944,0.5270144751332737,1,-0.37613688999999995,0.062283578888888885,0,1,0.1111111111111111,0.15799047619047618,0.11606969696969698,0.015233333333333357
373,Messenger,Than would make up his message.,1,5,5,"Act 1, Scene 5",0.0,1.0,0.0,0.0,neu,0.07455,0.40454,0.5602057898665453,1,0.0,0.056055221,0,0,0.09999999999999998,0.16380238095238092,0.07222272727272727,-0.20443333333333333
1726,Messenger,"Bless you, fair dame. I am not to you known,",4,2,19,"Act 4, Scene 2",0.0,0.611,0.389,0.6249,pos,0.00588181818181819,0.54646,0.6863149532102589,2,0.39050001,0.008823960909090912,1,0,0.0,0.08202467532467529,0.08827272727272734,0.6249
1727,Messenger,Though in your state of honor I am perfect.,4,2,19,"Act 4, Scene 2",0.0,0.504,0.496,0.7845,pos,-0.06599090909090909,0.42379999999999995,0.5940388059714617,2,0.6154402499999999,-0.04799861727272726,1,0,-0.09090909090909094,0.02340432900432897,0.0882727272727273,0.7047
1728,Messenger,I doubt some danger does approach you nearly.,4,2,19,"Act 4, Scene 2",0.496,0.504,0.0,-0.7096,neg,-0.07948181818181818,0.42379999999999995,0.5940388059714617,2,-0.50353216,-0.06377758454545454,0,1,-0.09090909090909094,-0.0006913419913420343,-0.04801818181818178,0.23326666666666665
1729,Messenger,"If you will take a homely man’s advice,",4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,-0.07948181818181817,0.43498000000000003,0.6142145569750037,2,0.0,-0.06377758454545454,0,0,-0.09090909090909094,-0.022891341991342025,-0.007981818181818132,0.024966666666666654
1730,Messenger,Be not found here. Hence with your little ones!,4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,-0.05063636363636363,0.43620000000000003,0.40022398728711905,2,0.0,-0.037548412727272724,0,0,-0.09090909090909094,0.036282683982683944,0.047772727272727314,-0.23653333333333335
1731,Messenger,To fright you thus methinks I am too savage;,4,2,19,"Act 4, Scene 2",0.444,0.556,0.0,-0.6808,neg,3.6363636363652546e-05,0.3964,0.5395882763737553,2,-0.46348863999999995,-0.009303434545454544,0,1,0.0,0.08864588744588742,0.05067272727272733,-0.22693333333333332
1732,Messenger,"To do worse to you were fell cruelty,",4,2,19,"Act 4, Scene 2",0.538,0.462,0.0,-0.7906,neg,-0.05677272727272726,0.3964,0.5395882763737553,2,-0.62504836,-0.04480343545454545,0,1,-0.09090909090909094,0.011312987012986976,0.029554545454545507,-0.49046666666666666
1733,Messenger,Which is too nigh your person. Heaven preserve,4,2,19,"Act 4, Scene 2",0.0,0.68,0.32,0.5106,pos,-0.12809090909090906,0.4556,0.5293760742610116,2,0.26071236000000003,-0.10075254909090908,1,0,-0.18181818181818182,-0.10001471861471864,0.07885454545454554,-0.32026666666666664
1734,Messenger,you!,4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,-0.06358181818181817,0.43091999999999997,0.5665691237616114,2,0.0,-0.054976898181818175,0,0,-0.09090909090909088,-0.014534199134199177,0.03881818181818186,-0.09333333333333331
1735,Messenger,I dare abide no longer.,4,2,19,"Act 4, Scene 2",0.355,0.645,0.0,-0.296,neg,-0.06358181818181817,0.2728,0.36736436952976276,2,-0.08761599999999999,-0.054976898181818175,0,1,-0.09090909090909088,-0.023005627705627744,0.09671818181818188,0.07153333333333335
2292,Messenger,"Gracious my lord,",5,5,25,"Act 5, Scene 5",0.0,0.357,0.643,0.5574,pos,-0.06358181818181817,0.17068,0.3100986810678176,3,0.31069476,-0.054976898181818175,1,0,-0.09090909090909088,0.07085151515151512,-0.040309090909090836,0.5574
2293,Messenger,"I should report that which I say I saw,",5,5,25,"Act 5, Scene 5",0.0,1.0,0.0,0.0,neu,-0.0016909090909090763,0.17068,0.3100986810678176,3,0.0,-0.012841567272727273,0,0,0.0,0.12083766233766231,0.021581818181818258,0.2787
2294,Messenger,But know not how to do ’t.,5,5,25,"Act 5, Scene 5",0.0,1.0,0.0,0.0,neu,0.07018181818181819,0.11147999999999998,0.24927685813167666,3,0.0,0.04398101090909091,0,0,0.09090909090909091,0.1745294372294372,0.11710909090909098,0.1858
2296,Messenger,"As I did stand my watch upon the hill,",5,5,25,"Act 5, Scene 5",0.0,1.0,0.0,0.0,neu,0.023763636363636372,0.0,0.0,4,0.0,0.020279887272727268,0,0,0.0,0.05078744588744587,-0.0011818181818181103,0.0
2297,Messenger,"I looked toward Birnam, and anon methought",5,5,25,"Act 5, Scene 5",0.0,1.0,0.0,0.0,neu,0.026140000000000007,0.0,0.0,4,0.0,0.022307875999999994,0,0,0.0,0.02311619047619045,0.0011945454545455245,0.0
2298,Messenger,The Wood began to move.,5,5,25,"Act 5, Scene 5",0.0,1.0,0.0,0.0,neu,0.06193333333333335,0.0,0.0,4,0.0,0.03452163999999999,0,0,0.1111111111111111,0.0761095238095238,0.08766060606060613,0.0
2300,Messenger,Let me endure your wrath if ’t be not so.,5,5,25,"Act 5, Scene 5",0.0,1.0,0.0,0.0,neu,0.0,0.0,0.0,5,0.0,0.0,0,0,0.0,-0.023471428571428605,-0.008981818181818117,0.0
2301,Messenger,Within this three mile may you see it coming.,5,5,25,"Act 5, Scene 5",0.0,1.0,0.0,0.0,neu,0.0,0.0,0.0,5,0.0,0.0,0,0,0.0,-0.023471428571428605,-0.029045454545454482,0.0
2302,Messenger,"I say, a moving grove.",5,5,25,"Act 5, Scene 5",0.0,1.0,0.0,0.0,neu,0.0,0.0,0.0,5,0.0,0.0,0,0,0.0,-0.023471428571428605,-0.029045454545454482,0.0
