line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
725,Porter,Here’s a knocking indeed! If a man were,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.11346666666666666,0.22693333333333332,0.3930600632642972,0,0.0,-0.07724810666666666,0,0,-0.16666666666666666,-0.13540476190476192,-0.13139393939393937,0.0
726,Porter,"porter of hell gate, he should have old turning the",2,3,10,"Act 2, Scene 3",0.338,0.662,0.0,-0.6808,neg,-0.09725714285714285,0.1702,0.3404,0,-0.46348863999999995,-0.06621266285714285,0,1,-0.14285714285714285,-0.11892857142857144,-0.09326623376623373,-0.3404
727,Porter,"key. Knock, knock, knock! Who’s there, i’",2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.0324125,0.13616,0.30446301581637136,0,0.0,-0.03572829875,0,0,0.0,-0.050698214285714305,-0.06673977272727272,-0.22693333333333332
728,Porter,th’ name of Beelzebub? Here’s a farmer that hanged,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.03454444444444444,0.13616,0.30446301581637136,0,0.0,-0.03205432777777777,0,0,-0.1111111111111111,-0.025596825396825416,-0.0062808080808080605,-0.22693333333333332
729,Porter,himself on th’ expectation of plenty. Come in time!,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.05132,0.0,0.0,0,0.0,-0.032941424,0,0,-0.19999999999999998,-0.042372380952380974,-0.004665454545454521,0.0
730,Porter,Have napkins enough about you; here you’ll sweat,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.08322727272727272,0.0843,0.18850053050323232,0,0.0,-0.04465995727272727,0,0,-0.2727272727272727,-0.0742796536796537,2.7755575615628914e-17,0.0
731,Porter,"for ’t. Knock, knock! Who’s there, in th’",2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.08322727272727272,0.09462,0.1955502544104712,0,0.0,-0.04465995727272727,0,0,-0.2727272727272727,-0.02573679653679655,2.7755575615628914e-17,0.0
732,Porter,"other devil’s name? Faith, here’s an equivocator",2,3,10,"Act 2, Scene 3",0.0,0.682,0.318,0.4215,pos,0.016981818181818178,0.13508,0.23218104358452696,0,0.17766225,0.013626487272727271,1,0,-0.09090909090909088,0.07447229437229434,2.0816681711721685e-17,0.14049999999999999
733,Porter,that could swear in both the scales against either,2,3,10,"Act 2, Scene 3",0.13,0.87,0.0,-0.0516,neg,-0.035009090909090906,0.21554,0.3049912179063522,0,-0.00266256,-0.016107113636363635,0,1,-0.18181818181818182,0.05280995670995668,2.0816681711721685e-17,0.1233
734,Porter,"scale, who committed treason enough for God’s",2,3,10,"Act 2, Scene 3",0.29,0.5,0.21,-0.2023,neg,-0.035009090909090906,0.21554,0.3049912179063522,0,-0.04092529,-0.016107113636363635,0,1,-0.18181818181818182,0.05280995670995668,2.0816681711721685e-17,0.055866666666666655
735,Porter,"sake yet could not equivocate to heaven. O, come in,",2,3,10,"Act 2, Scene 3",0.231,0.769,0.0,-0.4023,neg,-0.035009090909090906,0.21554,0.3049912179063522,0,-0.16184529,-0.016107113636363635,0,1,-0.18181818181818182,0.03765757575757574,2.0816681711721685e-17,-0.21873333333333334
736,Porter,"equivocator. Knock, knock, knock! Who’s",2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.10576363636363637,0.3196,0.38519392518574325,0,0.0,-0.07117537636363637,0,0,-0.2727272727272727,-0.05876363636363639,1.3877787807814457e-17,-0.20153333333333334
737,Porter,"there? Faith, here’s an English tailor come hither for",2,3,10,"Act 2, Scene 3",0.0,0.741,0.259,0.4215,pos,-0.10576363636363637,0.27914,0.3890635205207499,0,0.17766225,-0.07117537636363637,1,0,-0.2727272727272727,-0.091182683982684,1.3877787807814457e-17,0.006399999999999999
738,Porter,"stealing out of a French hose. Come in, tailor. Here",2,3,10,"Act 2, Scene 3",0.291,0.709,0.0,-0.5719,neg,-0.14408181818181817,0.19868,0.35362686125349696,0,-0.32706960999999996,-0.08732649,0,1,-0.36363636363636365,-0.14957229437229438,2.7755575615628914e-17,-0.05013333333333333
739,Porter,"you may roast your goose. Knock, knock!",2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.1393909090909091,0.35434,0.48424838977533,0,0.0,-0.0870844390909091,0,0,-0.2727272727272727,-0.17070519480519483,0.0,-0.05013333333333333
740,Porter,Never at quiet.—What are you?—But this place is,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.09207272727272726,0.27004,0.3768993539394834,0,0.0,-0.07415930000000001,0,0,-0.09090909090909088,-0.123387012987013,2.7755575615628914e-17,-0.19063333333333332
741,Porter,too cold for hell. I’ll devil-porter it no further. I had,2,3,10,"Act 2, Scene 3",0.43,0.57,0.0,-0.7783,neg,-0.017181818181818184,0.15566,0.3480663413776172,0,-0.60575089,-0.04329497818181818,0,1,0.09090909090909088,-0.048496103896103926,-0.010681818181818164,-0.25943333333333335
742,Porter,thought to have let in some of all professions that go,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.03211818181818182,0.15566,0.3480663413776172,0,0.0,-0.016559588181818186,0,0,0.18181818181818182,0.019941991341991316,0.038618181818181836,-0.25943333333333335
743,Porter,the primrose way to th’ everlasting bonfire.,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,-0.006199999999999998,0.2193,0.40763455692568556,0,0.0,-0.032710701818181816,0,0,0.09090909090909088,0.0016952380952380717,0.00030000000000002247,-0.25943333333333335
