line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
3,Second Witch,"When the hurly-burly’s done,",1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.14956666666666668,0.11333333333333334,0.19629909152447278,0,0.0,0.07104912666666667,0,0,0.3333333333333333,0.08053589743589744,0.10706666666666667,0.0
4,Second Witch,When the battle’s lost and won.,1,1,1,"Act 1, Scene 1",0.23,0.4,0.37,0.34,pos,0.03395714285714287,0.085,0.16999999999999998,0,0.11560000000000002,-0.0012727614285714117,1,0,0.14285714285714285,0.0013142857142857262,-0.003820634920634905,0.17
7,Second Witch,Upon the heath.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.029712500000000017,0.17948,0.2575021397969345,1,0.0,-0.0011136662499999853,0,0,0.125,0.0028301470588235414,-0.05186931818181817,0.0
10,Second Witch,Paddock calls.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.026411111111111125,0.17948000000000003,0.2575021397969345,2,0.0,-0.0009899255555555425,0,0,0.1111111111111111,-0.07065388888888888,0.015774747474747483,0.0
12,Second Witch,"Fair is foul, and foul is fair;",1,1,1,"Act 1, Scene 1",0.0,0.521,0.479,0.5574,pos,0.09883000000000002,0.24342000000000003,0.4312208807560228,3,0.31069476,0.05544910300000001,1,0,0.19999999999999998,0.02503476190476192,0.08819363636363638,0.5574
13,Second Witch,Hover through the fog and filthy air.,1,1,1,"Act 1, Scene 1",0.0,1.0,0.0,0.0,neu,0.08984545454545456,0.24342000000000003,0.4312208807560228,3,0.0,0.05040827545454547,0,0,0.1818181818181818,0.016050216450216467,0.015545454545454543,0.2787
93,Second Witch,Killing swine.,1,3,3,"Act 1, Scene 3",0.815,0.185,0.0,-0.6597,neg,0.08984545454545456,0.24342000000000003,0.4312208807560228,4,-0.43520408999999993,0.05040827545454547,0,1,0.1818181818181818,0.12305974025974026,0.17330909090909094,-0.6597
103,Second Witch,I’ll give thee a wind.,1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.05893636363636365,0.28206,0.49923739042663867,5,0.0,0.03989918454545456,0,0,0.09090909090909091,0.09355064935064934,0.03611818181818184,0.0
119,Second Witch,"Show me, show me.",1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.05893636363636365,0.28206,0.49923739042663867,6,0.0,0.03989918454545456,0,0,0.09090909090909091,0.014050649350649341,-0.006381818181818169,0.0
124,Second Witch,"The Weïrd Sisters, hand in hand,",1,3,3,"Act 1, Scene 3",0.0,0.385,0.615,0.7506,pos,0.10823636363636364,0.15012,0.33567852478226845,7,0.56340036,0.06663457454545457,1,0,0.1818181818181818,0.04348874458874456,-0.009299999999999989,0.7506
125,Second Witch,"Posters of the sea and land,",1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.08414545454545456,0.15012,0.33567852478226845,7,0.0,0.046162120000000015,0,0,0.1818181818181818,0.006388311688311693,-0.06742727272727271,0.3753
126,Second Witch,"Thus do go about, about,",1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.0978818181818182,0.15012,0.33567852478226845,7,0.0,0.04823768454545456,0,0,0.2727272727272727,0.020124675324675323,-0.05369090909090908,0.25020000000000003
127,Second Witch,Thrice to thine and thrice to mine,1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.1715909090909091,0.10846,0.2425239328396272,7,0.0,0.08987725727272727,0,0,0.45454545454545453,0.10531471861471861,0.020018181818181824,0.0
128,Second Witch,"And thrice again, to make up nine.",1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.18532727272727276,0.16694,0.2450725566031415,7,0.0,0.09195282181818182,0,0,0.5454545454545454,0.11905108225108227,0.05880000000000005,0.0
129,Second Witch,"Peace, the charm’s wound up.",1,3,3,"Act 1, Scene 3",0.0,0.533,0.467,0.5423,pos,0.1896727272727273,0.19716,0.2280668388871999,7,0.29408929,0.09216053454545454,1,0,0.5454545454545454,0.13854891774891775,0.06314545454545459,0.18076666666666666
